name,type,L,s,apx,apy,system,subsystem,inst,dtype,device,desc
FS_PTG:PTA_D1000,PTA,0.000000,100.000000,0.040000,0.040000,FS,PTG,D1000,PTA,PTA,target and object position
FS_F1S1:ROT_D1000,ROT,0.000000,100.000000,0.040000,0.040000,FS,F1S1,D1000,ROT,ROT,"Virtual element for xy rotation 90 deg, FLAME"
FS_F1S1:ROT_DFT_D1000_1,DRIFT,0.102000,100.051000,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_14
FS_F1S1:ROT_DFT_D1000_2,DRIFT,0.400000,100.302000,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,space for post-target shield
FS_F1S1:ROT_DFT_D1000_3,DRIFT,0.031530,100.517765,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_16
FS_F1S1:ROT_DFT_D1000_4,DRIFT,0.093000,100.580030,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,space for vacuum separation valve
FS_F1S1:ROT_DFT_D1000_5,DRIFT,0.361633,100.807347,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_18
FS_F1S1:Q_D1013,QUAD,0.623673,101.300000,0.208000,0.208000,FS,F1S1,D1013,QUAD_FSQ1,Q,RT quadrupole
FS_F1S1:Q_DFT_D1013_1,DRIFT,0.188163,101.705918,0.208000,0.208000,NONE,NONE,NONE,NONE,NONE,drift_20
FS_F1S1:Q_DFT_D1013_2,DRIFT,0.176000,101.888000,0.208000,0.208000,NONE,NONE,NONE,NONE,NONE,front shield for WIQ2
FS_F1S1:Q_D1024,QUAD,0.798000,102.375000,0.260000,0.260000,FS,F1S1,D1024,QUAD_FSQ2,Q,SC quadrupole with higher-order correctors
FS_F1S1:S_D1024,SEXT,0.000000,102.375000,0.260000,0.260000,FS,F1S1,D1024,SEXT_FSQ2,S,
FS_F1S1:OCT_D1024,OCT,0.000000,102.375000,0.260000,0.260000,FS,F1S1,D1024,OCT_FSQ2,OCT,
FS_F1S1:OCT_DFT_D1024,DRIFT,0.302000,102.925000,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_25
FS_F1S1:Q_D1035,QUAD,0.798000,103.475000,0.260000,0.260000,FS,F1S1,D1035,QUAD_FSQ2,Q,SC quadrupole with higher-order correctors
FS_F1S1:S_D1035,SEXT,0.000000,103.475000,0.260000,0.260000,FS,F1S1,D1035,SEXT_FSQ2,S,
FS_F1S1:OCT_D1035,OCT,0.000000,103.475000,0.260000,0.260000,FS,F1S1,D1035,OCT_FSQ2,OCT,
FS_F1S1:OCT_DFT_D1035,DRIFT,0.276000,104.012000,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_29
FS_F1S1:CLLM_D1045,CLLM,0.600000,104.450000,0.260000,0.260000,FS,F1S1,D1045,CLLM,CLLM,
FS_F1S1:CLLM_DFT_D1045_1,DRIFT,0.431369,104.965684,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_31
FS_F1S1:CLLM_DFT_D1045_2,DRIFT,0.218631,105.290684,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_32
FS_F1S1:CLLM_DFT_D1045_3,DRIFT,0.000000,105.400000,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,Entrance Point of dipole at D1064
FS_F1S1:DV_D1064,BEND,2.094395,106.447198,0.260000,0.260000,FS,F1S1,D1064,BEND_FSD1,DV,
FS_F1S1:DV_DFT_D1064_1,DRIFT,0.000000,107.494395,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,Exit Point of dipole at D1064
FS_F1S1:DV_DFT_D1064_2,DRIFT,0.193230,107.591010,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_36
FS_F1S1:DV_DFT_D1064_3,DRIFT,0.001586,107.688419,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_37
FS_F1S1:DV_DFT_D1064_4,DRIFT,0.050800,107.714612,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,placeholder for anticipated complimentary diagnostics
FS_F1S1:DV_DFT_D1064_5,DRIFT,0.050798,107.765411,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_39
FS_F1S1:DV_DFT_D1064_6,DRIFT,0.327027,107.954324,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_40
FS_PBD:BD_D1081,DUMP,0.000000,108.117837,0.260000,0.260000,FS,PBD,D1081,BD,BD,beam dump
FS_PBD:BD_DFT_D1081_1,DRIFT,0.089558,108.162616,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_42
FS_PBD:BD_DFT_D1081_2,DRIFT,0.237469,108.326130,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_44
FS_PBD:BD_DFT_D1081_3,DRIFT,0.071803,108.480766,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_45
FS_PBD:BD_DFT_D1081_4,DRIFT,0.000000,108.516667,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,fragment catchers (entrance plane)
FS_PBD:BD_DFT_D1081_5,DRIFT,0.050800,108.542067,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_47
FS_PBD:BD_DFT_D1081_6,DRIFT,0.014200,108.574567,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_49
FS_PBD:BD_DFT_D1081_7,DRIFT,0.000000,108.581667,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,fragment catchers (center plane of movable fragment catchers)
FS_PBD:BD_DFT_D1081_8,DRIFT,0.036600,108.599967,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_51
FS_PBD:BD_DFT_D1081_9,DRIFT,0.028400,108.632467,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_53
FS_PBD:BD_DFT_D1081_10,DRIFT,0.000000,108.646667,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,fragment catchers (exit plane of movable fragment catchers)
FS_PBD:BD_DFT_D1081_11,DRIFT,0.323728,108.808531,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_55
FS_F1S1:CLLM_D1092,CLLM,0.400000,109.170395,0.260000,0.260000,FS,F1S1,D1092,CLLM,CLLM,collimator/shield
FS_F1S1:CLLM_DFT_D1092_1,DRIFT,0.187164,109.463977,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_57
FS_F1S1:CLLM_DFT_D1092_2,DRIFT,0.212836,109.663977,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_58
FS_F1S1:CLLM_DFT_D1092_3,DRIFT,0.000000,109.770395,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,Entrance Point of dipole at D1108
FS_F1S1:DV_D1108,BEND,2.094395,110.817593,0.260000,0.260000,FS,F1S1,D1108,BEND_FSD1,DV,
FS_F1S1:DV_DFT_D1108_1,DRIFT,0.000000,111.864790,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,Exit Point of dipole at D1108
FS_F1S1:DV_DFT_D1108_2,DRIFT,0.180515,111.955048,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_62
FS_F1S1:DV_DFT_D1108_3,DRIFT,0.069485,112.080048,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_63
FS_SBD:BD_D1125,DUMP,0.674000,112.451790,0.260000,0.260000,FS,SBD,D1125,BD,BD,space for 2nd beam dump
FS_SBD:BD_DFT_D1125,DRIFT,0.464556,113.021068,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_65
FS_F1S1:Q_D1137,QUAD,0.820888,113.663790,0.400000,0.400000,FS,F1S1,D1137,QUAD_FSQ5,Q,SC quadrupole with higher-order correctors
FS_F1S1:S_D1137,SEXT,0.000000,113.663790,0.400000,0.400000,FS,F1S1,D1137,SEXT_FSQ5,S,
FS_F1S1:OCT_D1137,OCT,0.000000,113.663790,0.400000,0.400000,FS,F1S1,D1137,OCT_FSQ5,OCT,
FS_F1S1:OCT_DFT_D1137,DRIFT,0.266812,114.207640,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,drift_69
FS_F1S1:Q_D1148,QUAD,0.820888,114.751490,0.400000,0.400000,FS,F1S1,D1148,QUAD_FSQ5,Q,SC quadrupole with higher-order correctors
FS_F1S1:S_D1148,SEXT,0.000000,114.751490,0.400000,0.400000,FS,F1S1,D1148,SEXT_FSQ5,S,
FS_F1S1:OCT_D1148,OCT,0.000000,114.751490,0.400000,0.400000,FS,F1S1,D1148,OCT_FSQ5,OCT,
FS_F1S1:OCT_DFT_D1148_1,DRIFT,0.326856,115.325362,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,drift_73
FS_F1S1:OCT_DFT_D1148_2,DRIFT,0.700000,115.838790,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,space for WIQ6
FS_F1S1:OCT_DFT_D1148_3,DRIFT,0.439556,116.408568,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,drift_75
FS_F1S1:Q_D1170,QUAD,0.820888,117.038790,0.400000,0.400000,FS,F1S1,D1170,QUAD_FSQ5,Q,SC quadrupole with higher-order correctors
FS_F1S1:S_D1170,SEXT,0.000000,117.038790,0.400000,0.400000,FS,F1S1,D1170,SEXT_FSQ5,S,
FS_F1S1:OCT_D1170,OCT,0.000000,117.038790,0.400000,0.400000,FS,F1S1,D1170,OCT_FSQ5,OCT,
FS_F1S1:OCT_DFT_D1170_1,DRIFT,0.200680,117.549574,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,drift_79
FS_F1S1:OCT_DFT_D1170_2,DRIFT,0.025400,117.662614,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,drift_80
FS_F1S1:OCT_DFT_D1170_3,DRIFT,0.317500,117.834064,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,space for vacuum separation (gate valve)
FS_F1S1:OCT_DFT_D1170_4,DRIFT,0.038906,118.012267,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,drift_82
FS_F1S1:OCT_DFT_D1170_5,DRIFT,0.050000,118.056720,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,drift_83
FS_F1S1:OCT_DFT_D1170_6,DRIFT,0.050000,118.106720,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,drift_84
FS_F1S1:OCT_DFT_D1170_7,DRIFT,0.075000,118.169220,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,drift_85
FS_F1S1:OCT_DFT_D1170_8,DRIFT,0.111101,118.262270,0.400000,0.400000,NONE,NONE,NONE,NONE,NONE,drift_86
FS_F1S1:VD_D1183,VD,0.050800,118.343221,0.400000,0.400000,FS,F1S1,D1183,FSVD2A,VD,pre-slit viewer
