PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,pvPolicy,,,,
FS1_BTS:PSD_D2394:I_CSET,I,B,setpoint,1,1.106208,FS1_BTS:DH_D2394,239.964383,BEND,LIVE,"dipole-45deg, D2-1",BEND_D2,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1213
FS1_BTS:PSD_D2394:I_RSET,I,B,readset,1,1.106208,FS1_BTS:DH_D2394,239.964383,BEND,LIVE,"dipole-45deg, D2-1",BEND_D2,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1213
FS1_BTS:PSD_D2394:I_RD,I,B,readback,1,1.106208,FS1_BTS:DH_D2394,239.964383,BEND,LIVE,"dipole-45deg, D2-1",BEND_D2,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1213
FS1_BTS:PSD_D2394:ON_CMD,PWRSTS,POWER_STATUS,setpoint,1,1.106208,FS1_BTS:DH_D2394,239.964383,BEND,LIVE,"dipole-45deg, D2-1",BEND_D2,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1213
FS1_BTS:PSD_D2394:ON_RSTS,PWRSTS,POWER_STATUS,readback,1,1.106208,FS1_BTS:DH_D2394,239.964383,BEND,LIVE,"dipole-45deg, D2-1",BEND_D2,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1213
FS1_BTS:ND_D2408:AVG_RD,I_AVG,AVERAGE_INTENSITY,readback,6,0,FS1_BTS:ND_D2408,240.813181,ND,LIVE,neutron detector,BLM_ND,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1218
FS1_BTS:ND_D2408:EVT_RD,I_AVG,AVERAGE_INTENSITY,readback,6,0,FS1_BTS:ND_D2408,240.813181,ND,LIVE,neutron detector,BLM_ND,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1218
FS1_BTS:ND_D2408:VBS:VoltageSet,BIAS_VOLT,BIAS_VOLTAGE,setpoint,6,0,FS1_BTS:ND_D2408,240.813181,ND,LIVE,neutron detector,BLM_ND,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1218
FS1_BTS:ND_D2408:VBS:VoltageMeasure,BIAS_VOLT,BIAS_VOLTAGE,readback,6,0,FS1_BTS:ND_D2408,240.813181,ND,LIVE,neutron detector,BLM_ND,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1218
FS1_BTS:ND_D2408:VBS:setOn,PWRSTS,POWER_STATUS,setpoint,6,0,FS1_BTS:ND_D2408,240.813181,ND,LIVE,neutron detector,BLM_ND,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1218
FS1_BTS:ND_D2408:VBS:isOn,PWRSTS,POWER_STATUS,readback,6,0,FS1_BTS:ND_D2408,240.813181,ND,LIVE,neutron detector,BLM_ND,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1218
FS1_BTS:PSQ_D2409:I_CSET,I,B2,setpoint,7,0.25,FS1_BTS:Q_D2409,241.063181,QUAD,LIVE,quadrupole-25cm,QUAD_Q1,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1219
FS1_BTS:PSQ_D2409:I_RSET,I,B2,readset,7,0.25,FS1_BTS:Q_D2409,241.063181,QUAD,LIVE,quadrupole-25cm,QUAD_Q1,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1219
FS1_BTS:PSQ_D2409:I_RD,I,B2,readback,7,0.25,FS1_BTS:Q_D2409,241.063181,QUAD,LIVE,quadrupole-25cm,QUAD_Q1,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1219
FS1_BTS:PSQ_D2409:ON_CMD,PWRSTS,POWER_STATUS,setpoint,7,0.25,FS1_BTS:Q_D2409,241.063181,QUAD,LIVE,quadrupole-25cm,QUAD_Q1,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1219
FS1_BTS:PSQ_D2409:ON_RSTS,PWRSTS,POWER_STATUS,readback,7,0.25,FS1_BTS:Q_D2409,241.063181,QUAD,LIVE,quadrupole-25cm,QUAD_Q1,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1219
FS1_BTS:PSQ_D2415:I_CSET,I,B2,setpoint,9,0.26,FS1_BTS:Q_D2415,241.676181,QUAD,LIVE,quadrupole-26cm,QUAD_Q2,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1221
FS1_BTS:PSQ_D2415:I_RSET,I,B2,readset,9,0.26,FS1_BTS:Q_D2415,241.676181,QUAD,LIVE,quadrupole-26cm,QUAD_Q2,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1221
FS1_BTS:PSQ_D2415:I_RD,I,B2,readback,9,0.26,FS1_BTS:Q_D2415,241.676181,QUAD,LIVE,quadrupole-26cm,QUAD_Q2,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1221
FS1_BTS:PSQ_D2415:ON_CMD,PWRSTS,POWER_STATUS,setpoint,9,0.26,FS1_BTS:Q_D2415,241.676181,QUAD,LIVE,quadrupole-26cm,QUAD_Q2,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1221
FS1_BTS:PSQ_D2415:ON_RSTS,PWRSTS,POWER_STATUS,readback,9,0.26,FS1_BTS:Q_D2415,241.676181,QUAD,LIVE,quadrupole-26cm,QUAD_Q2,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1221
FS1_BTS:PSQ_D2422:I_CSET,I,B2,setpoint,11,0.25,FS1_BTS:Q_D2422,242.279181,QUAD,LIVE,quadrupole-25cm,QUAD_Q1,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1223
FS1_BTS:PSQ_D2422:I_RSET,I,B2,readset,11,0.25,FS1_BTS:Q_D2422,242.279181,QUAD,LIVE,quadrupole-25cm,QUAD_Q1,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1223
FS1_BTS:PSQ_D2422:I_RD,I,B2,readback,11,0.25,FS1_BTS:Q_D2422,242.279181,QUAD,LIVE,quadrupole-25cm,QUAD_Q1,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1223
FS1_BTS:PSQ_D2422:ON_CMD,PWRSTS,POWER_STATUS,setpoint,11,0.25,FS1_BTS:Q_D2422,242.279181,QUAD,LIVE,quadrupole-25cm,QUAD_Q1,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1223
FS1_BTS:PSQ_D2422:ON_RSTS,PWRSTS,POWER_STATUS,readback,11,0.25,FS1_BTS:Q_D2422,242.279181,QUAD,LIVE,quadrupole-25cm,QUAD_Q1,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1223
FS1_BTS:BPM_D2424:XPOS_RD,X,XPOS,readback,13,0,FS1_BTS:BPM_D2424,242.44998,BPM,LIVE,position monitor,BPM3b,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1225
FS1_BTS:BPM_D2424:YPOS_RD,Y,YPOS,readback,13,0,FS1_BTS:BPM_D2424,242.44998,BPM,LIVE,position monitor,BPM3b,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1225
FS1_BTS:BPM_D2424:PHASE_RD,PHA,PHASE,readback,13,0,FS1_BTS:BPM_D2424,242.44998,BPM,LIVE,position monitor,BPM3b,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1225
FS1_BTS:BPM_D2424:ENG_RD,ENG,ENERGY,readback,13,0,FS1_BTS:BPM_D2424,242.44998,BPM,LIVE,position monitor,BPM3b,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1225
FS1_BTS:BPM_D2424:MAG_RD,MAG,MAGNITUDE,readback,13,0,FS1_BTS:BPM_D2424,242.44998,BPM,LIVE,position monitor,BPM3b,DEFAULT,phantasy.sys.FS1,phantasy.sub.BTS,FSEE,1225
FS1_SEE:PSD_D2435:I_CSET,I,B,setpoint,15,1.650252,FS1_SEE:DH_D2435,244.313433,BEND,LIVE,dipole-17.5deg,BEND_D4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1227
FS1_SEE:PSD_D2435:I_RSET,I,B,readset,15,1.650252,FS1_SEE:DH_D2435,244.313433,BEND,LIVE,dipole-17.5deg,BEND_D4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1227
FS1_SEE:PSD_D2435:I_RD,I,B,readback,15,1.650252,FS1_SEE:DH_D2435,244.313433,BEND,LIVE,dipole-17.5deg,BEND_D4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1227
FS1_SEE:PSD_D2435:ON_CMD,PWRSTS,POWER_STATUS,setpoint,15,1.650252,FS1_SEE:DH_D2435,244.313433,BEND,LIVE,dipole-17.5deg,BEND_D4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1227
FS1_SEE:PSD_D2435:ON_RSTS,PWRSTS,POWER_STATUS,readback,15,1.650252,FS1_SEE:DH_D2435,244.313433,BEND,LIVE,dipole-17.5deg,BEND_D4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1227
FS1_SEE:BPM_D2449:XPOS_RD,X,XPOS,readback,24,0,FS1_SEE:BPM_D2449,244.861452,BPM,LIVE,position monitor,BPM3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1236
