PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,pvPolicy,,,,
FS1_SEE:BPM_D2449:YPOS_RD,Y,YPOS,readback,24,0,FS1_SEE:BPM_D2449,244.861452,BPM,LIVE,position monitor,BPM3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1236
FS1_SEE:BPM_D2449:PHASE_RD,PHA,PHASE,readback,24,0,FS1_SEE:BPM_D2449,244.861452,BPM,LIVE,position monitor,BPM3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1236
FS1_SEE:BPM_D2449:ENG_RD,ENG,ENERGY,readback,24,0,FS1_SEE:BPM_D2449,244.861452,BPM,LIVE,position monitor,BPM3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1236
FS1_SEE:BPM_D2449:MAG_RD,MAG,MAGNITUDE,readback,24,0,FS1_SEE:BPM_D2449,244.861452,BPM,LIVE,position monitor,BPM3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1236
FS1_SEE:PSQ_D2459:I_CSET,I,B2,setpoint,31,0.33,FS1_SEE:Q_D2459,246.098434,QUAD,LIVE,quadrupole-33cm,QUAD_Q4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1243
FS1_SEE:PSQ_D2459:I_RSET,I,B2,readset,31,0.33,FS1_SEE:Q_D2459,246.098434,QUAD,LIVE,quadrupole-33cm,QUAD_Q4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1243
FS1_SEE:PSQ_D2459:I_RD,I,B2,readback,31,0.33,FS1_SEE:Q_D2459,246.098434,QUAD,LIVE,quadrupole-33cm,QUAD_Q4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1243
FS1_SEE:PSQ_D2459:ON_CMD,PWRSTS,POWER_STATUS,setpoint,31,0.33,FS1_SEE:Q_D2459,246.098434,QUAD,LIVE,quadrupole-33cm,QUAD_Q4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1243
FS1_SEE:PSQ_D2459:ON_RSTS,PWRSTS,POWER_STATUS,readback,31,0.33,FS1_SEE:Q_D2459,246.098434,QUAD,LIVE,quadrupole-33cm,QUAD_Q4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1243
FS1_SEE:PSQ_D2468:I_CSET,I,B2,setpoint,35,0.33,FS1_SEE:Q_D2468,246.948434,QUAD,LIVE,quadrupole-33cm,QUAD_Q4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1247
FS1_SEE:PSQ_D2468:I_RSET,I,B2,readset,35,0.33,FS1_SEE:Q_D2468,246.948434,QUAD,LIVE,quadrupole-33cm,QUAD_Q4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1247
FS1_SEE:PSQ_D2468:I_RD,I,B2,readback,35,0.33,FS1_SEE:Q_D2468,246.948434,QUAD,LIVE,quadrupole-33cm,QUAD_Q4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1247
FS1_SEE:PSQ_D2468:ON_CMD,PWRSTS,POWER_STATUS,setpoint,35,0.33,FS1_SEE:Q_D2468,246.948434,QUAD,LIVE,quadrupole-33cm,QUAD_Q4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1247
FS1_SEE:PSQ_D2468:ON_RSTS,PWRSTS,POWER_STATUS,readback,35,0.33,FS1_SEE:Q_D2468,246.948434,QUAD,LIVE,quadrupole-33cm,QUAD_Q4,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1247
FS1_SEE:PSC2_D2473:I_CSET,I,TM,setpoint,37,0,FS1_SEE:DCH_D2473,247.348434,HCOR,LIVE,horiz. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1249
FS1_SEE:PSC2_D2473:I_RSET,I,TM,readset,37,0,FS1_SEE:DCH_D2473,247.348434,HCOR,LIVE,horiz. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1249
FS1_SEE:PSC2_D2473:I_RD,I,TM,readback,37,0,FS1_SEE:DCH_D2473,247.348434,HCOR,LIVE,horiz. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1249
FS1_SEE:PSC2_D2473:ON_CMD,PWRSTS,POWER_STATUS,setpoint,37,0,FS1_SEE:DCH_D2473,247.348434,HCOR,LIVE,horiz. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1249
FS1_SEE:PSC2_D2473:ON_RSTS,PWRSTS,POWER_STATUS,readback,37,0,FS1_SEE:DCH_D2473,247.348434,HCOR,LIVE,horiz. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1249
FS1_SEE:PSC1_D2473:I_CSET,I,TM,setpoint,37,0,FS1_SEE:DCV_D2473,247.348434,VCOR,LIVE,vert. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1249
FS1_SEE:PSC1_D2473:I_RSET,I,TM,readset,37,0,FS1_SEE:DCV_D2473,247.348434,VCOR,LIVE,vert. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1249
FS1_SEE:PSC1_D2473:I_RD,I,TM,readback,37,0,FS1_SEE:DCV_D2473,247.348434,VCOR,LIVE,vert. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1249
FS1_SEE:PSC1_D2473:ON_CMD,PWRSTS,POWER_STATUS,setpoint,37,0,FS1_SEE:DCV_D2473,247.348434,VCOR,LIVE,vert. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1249
FS1_SEE:PSC1_D2473:ON_RSTS,PWRSTS,POWER_STATUS,readback,37,0,FS1_SEE:DCV_D2473,247.348434,VCOR,LIVE,vert. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1249
FS1_SEE:PM_D2480:XCEN_RD,XCEN,XCEN,readback,39,0,FS1_SEE:PM_D2480,247.968284,PM,LIVE,profile monitor (large fork),PM_L,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1251
FS1_SEE:PM_D2480:YCEN_RD,YCEN,YCEN,readback,39,0,FS1_SEE:PM_D2480,247.968284,PM,LIVE,profile monitor (large fork),PM_L,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1251
FS1_SEE:PM_D2480:XY_RD,XY,XY,readback,39,0,FS1_SEE:PM_D2480,247.968284,PM,LIVE,profile monitor (large fork),PM_L,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1251
FS1_SEE:PM_D2480:CXY_RD,CXY,CXY,readback,39,0,FS1_SEE:PM_D2480,247.968284,PM,LIVE,profile monitor (large fork),PM_L,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1251
FS1_SEE:PM_D2480:XRMS_RD,XRMS,XRMS,readback,39,0,FS1_SEE:PM_D2480,247.968284,PM,LIVE,profile monitor (large fork),PM_L,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1251
FS1_SEE:PM_D2480:YRMS_RD,YRMS,YRMS,readback,39,0,FS1_SEE:PM_D2480,247.968284,PM,LIVE,profile monitor (large fork),PM_L,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1251
FS1_SEE:PM_D2480:XYRMS_RD,XYRMS,XYRMS,readback,39,0,FS1_SEE:PM_D2480,247.968284,PM,LIVE,profile monitor (large fork),PM_L,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1251
FS1_SEE:PM_D2480:VBS:setOn,PWRSTS,POWER_STATUS,setpoint,39,0,FS1_SEE:PM_D2480,247.968284,PM,LIVE,profile monitor (large fork),PM_L,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1251
FS1_SEE:PM_D2480:VBS:isOn,PWRSTS,POWER_STATUS,readback,39,0,FS1_SEE:PM_D2480,247.968284,PM,LIVE,profile monitor (large fork),PM_L,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1251
FS1_SEE:PM_D2480:VBS:VoltageSet,BIAS_VOLT,BIAS_VOLTAGE,setpoint,39,0,FS1_SEE:PM_D2480,247.968284,PM,LIVE,profile monitor (large fork),PM_L,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1251
FS1_SEE:PM_D2480:VBS:VoltageMeasure,BIAS_VOLT,BIAS_VOLTAGE,readback,39,0,FS1_SEE:PM_D2480,247.968284,PM,LIVE,profile monitor (large fork),PM_L,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1251
FS1_SEE:PSC2_D2484:I_CSET,I,TM,setpoint,42,0,FS1_SEE:DCH_D2484,248.410334,HCOR,LIVE,horiz. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1254
FS1_SEE:PSC2_D2484:I_RSET,I,TM,readset,42,0,FS1_SEE:DCH_D2484,248.410334,HCOR,LIVE,horiz. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1254
FS1_SEE:PSC2_D2484:I_RD,I,TM,readback,42,0,FS1_SEE:DCH_D2484,248.410334,HCOR,LIVE,horiz. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1254
FS1_SEE:PSC2_D2484:ON_CMD,PWRSTS,POWER_STATUS,setpoint,42,0,FS1_SEE:DCH_D2484,248.410334,HCOR,LIVE,horiz. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1254
FS1_SEE:PSC2_D2484:ON_RSTS,PWRSTS,POWER_STATUS,readback,42,0,FS1_SEE:DCH_D2484,248.410334,HCOR,LIVE,horiz. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1254
FS1_SEE:PSC1_D2484:I_CSET,I,TM,setpoint,42,0,FS1_SEE:DCV_D2484,248.410334,VCOR,LIVE,vert. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1254
FS1_SEE:PSC1_D2484:I_RSET,I,TM,readset,42,0,FS1_SEE:DCV_D2484,248.410334,VCOR,LIVE,vert. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1254
FS1_SEE:PSC1_D2484:I_RD,I,TM,readback,42,0,FS1_SEE:DCV_D2484,248.410334,VCOR,LIVE,vert. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1254
FS1_SEE:PSC1_D2484:ON_CMD,PWRSTS,POWER_STATUS,setpoint,42,0,FS1_SEE:DCV_D2484,248.410334,VCOR,LIVE,vert. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1254
FS1_SEE:PSC1_D2484:ON_RSTS,PWRSTS,POWER_STATUS,readback,42,0,FS1_SEE:DCV_D2484,248.410334,VCOR,LIVE,vert. corrector magnet,C3,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1254
FS1_SEE:BPM_D2487:XPOS_RD,X,XPOS,readback,47,0,FS1_SEE:BPM_D2487,248.696059,BPM,LIVE,position monitor,BPM4a,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1259
FS1_SEE:BPM_D2487:YPOS_RD,Y,YPOS,readback,47,0,FS1_SEE:BPM_D2487,248.696059,BPM,LIVE,position monitor,BPM4a,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1259
FS1_SEE:BPM_D2487:PHASE_RD,PHA,PHASE,readback,47,0,FS1_SEE:BPM_D2487,248.696059,BPM,LIVE,position monitor,BPM4a,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1259
FS1_SEE:BPM_D2487:ENG_RD,ENG,ENERGY,readback,47,0,FS1_SEE:BPM_D2487,248.696059,BPM,LIVE,position monitor,BPM4a,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1259
FS1_SEE:BPM_D2487:MAG_RD,MAG,MAGNITUDE,readback,47,0,FS1_SEE:BPM_D2487,248.696059,BPM,LIVE,position monitor,BPM4a,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1259
FS1_SEE:FC_D2490:AVG_RD,I_AVG,AVERAGE_INTENSITY,readback,51,0,FS1_SEE:FC_D2490,249.148434,FC,LIVE,beam stop with readout,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1263
FS1_SEE:FC_D2490:VBS:VoltageSet,BIAS_VOLT,BIAS_VOLTAGE,setpoint,51,0,FS1_SEE:FC_D2490,249.148434,FC,LIVE,beam stop with readout,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1263
FS1_SEE:FC_D2490:VBS:VoltageMeasure,BIAS_VOLT,BIAS_VOLTAGE,readback,51,0,FS1_SEE:FC_D2490,249.148434,FC,LIVE,beam stop with readout,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1263
FS1_SEE:FC_D2490:VBS:setOn,PWRSTS,POWER_STATUS,setpoint,51,0,FS1_SEE:FC_D2490,249.148434,FC,LIVE,beam stop with readout,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1263
FS1_SEE:FC_D2490:VBS:isOn,PWRSTS,POWER_STATUS,readback,51,0,FS1_SEE:FC_D2490,249.148434,FC,LIVE,beam stop with readout,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1263
FS1_SEE:FC_D2490:XCEN_RD,XCEN,XCEN,readback,51,0,FS1_SEE:FC_D2490,249.148434,FC,LIVE,beam stop with readout,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1263
FS1_SEE:FC_D2490:YCEN_RD,YCEN,YCEN,readback,51,0,FS1_SEE:FC_D2490,249.148434,FC,LIVE,beam stop with readout,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1263
FS1_SEE:FC_D2490:XRMS_RD,XRMS,XRMS,readback,51,0,FS1_SEE:FC_D2490,249.148434,FC,LIVE,beam stop with readout,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1263
FS1_SEE:FC_D2490:YRMS_RD,YRMS,YRMS,readback,51,0,FS1_SEE:FC_D2490,249.148434,FC,LIVE,beam stop with readout,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1263
FS1_SEE:PSO_D2512:I_CSET,I,B4,setpoint,54,0.7,FS1_SEE:O_D2512,251.548434,OCT,LIVE,Octupole-70cm,OCT_O1,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1266
FS1_SEE:PSO_D2512:I_RSET,I,B4,readset,54,0.7,FS1_SEE:O_D2512,251.548434,OCT,LIVE,Octupole-70cm,OCT_O1,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1266
FS1_SEE:PSO_D2512:I_RD,I,B4,readback,54,0.7,FS1_SEE:O_D2512,251.548434,OCT,LIVE,Octupole-70cm,OCT_O1,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1266
FS1_SEE:PSO_D2512:ON_CMD,PWRSTS,POWER_STATUS,setpoint,54,0.7,FS1_SEE:O_D2512,251.548434,OCT,LIVE,Octupole-70cm,OCT_O1,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1266
FS1_SEE:PSO_D2512:ON_RSTS,PWRSTS,POWER_STATUS,readback,54,0.7,FS1_SEE:O_D2512,251.548434,OCT,LIVE,Octupole-70cm,OCT_O1,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1266
FS1_SEE:PSQ_D2521:I_CSET,I,B2,setpoint,56,0.55,FS1_SEE:Q_D2521,252.398434,QUAD,LIVE,quadrupole-46cm,QUAD_Q11,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1268
FS1_SEE:PSQ_D2521:I_RSET,I,B2,readset,56,0.55,FS1_SEE:Q_D2521,252.398434,QUAD,LIVE,quadrupole-46cm,QUAD_Q11,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1268
FS1_SEE:PSQ_D2521:I_RD,I,B2,readback,56,0.55,FS1_SEE:Q_D2521,252.398434,QUAD,LIVE,quadrupole-46cm,QUAD_Q11,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1268
FS1_SEE:PSQ_D2521:ON_CMD,PWRSTS,POWER_STATUS,setpoint,56,0.55,FS1_SEE:Q_D2521,252.398434,QUAD,LIVE,quadrupole-46cm,QUAD_Q11,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1268
FS1_SEE:PSQ_D2521:ON_RSTS,PWRSTS,POWER_STATUS,readback,56,0.55,FS1_SEE:Q_D2521,252.398434,QUAD,LIVE,quadrupole-46cm,QUAD_Q11,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1268
FS1_SEE:PSQ_D2530:I_CSET,I,B2,setpoint,58,0.55,FS1_SEE:Q_D2530,253.298434,QUAD,LIVE,quadrupole-46cm,QUAD_Q11,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1270
FS1_SEE:PSQ_D2530:I_RSET,I,B2,readset,58,0.55,FS1_SEE:Q_D2530,253.298434,QUAD,LIVE,quadrupole-46cm,QUAD_Q11,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1270
FS1_SEE:PSQ_D2530:I_RD,I,B2,readback,58,0.55,FS1_SEE:Q_D2530,253.298434,QUAD,LIVE,quadrupole-46cm,QUAD_Q11,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1270
