name,type,L,s,apx,apy,system,subsystem,inst,dtype,device,desc
FS1_BTS:DH_D2394,BEND,1.106208,239.411279,0.14,0.04,FS1,BTS,D2394,BEND_D2,DH,"dipole-45deg, D2-1"
FS1_BTS:GV_D2400,VALVE,0.057404,239.993085,0.05,0.05,FS1,BTS,D2400,NONE,GV,gate valve
FS1_BTS:GV_DFT_D2400,DRIFT,0.43,240.236787,0.05,0.05,NONE,NONE,NONE,NONE,NONE,4-way cross with bellow
FS1_BTS:IP_D2405,PORT,0,240.451787,0.05,0.05,FS1,BTS,D2405,IP_L,IP,ion pump 75 l/s
FS1_BTS:IP_DFT_D2405,DRIFT,0.361394,240.632484,0.05,0.05,NONE,NONE,NONE,NONE,NONE,4-way cross with bellow
FS1_BTS:ND_D2408,ND,0,240.813181,0.05,0.05,FS1,BTS,D2408,BLM_ND,ND,neutron detector
FS1_BTS:Q_D2409,QUAD,0.25,240.938181,0.05,0.05,FS1,BTS,D2409,QUAD_Q1,Q,quadrupole-25cm
FS1_BTS:Q_DFT_D2409,DRIFT,0.353,241.239681,0.05,0.05,NONE,NONE,NONE,NONE,NONE,drift_1505
FS1_BTS:Q_D2415,QUAD,0.26,241.546181,0.075,0.075,FS1,BTS,D2415,QUAD_Q2,Q,quadrupole-26cm
FS1_BTS:Q_DFT_D2415,DRIFT,0.353,241.852681,0.075,0.075,NONE,NONE,NONE,NONE,NONE,drift_1507
FS1_BTS:Q_D2422,QUAD,0.25,242.154181,0.05,0.05,FS1,BTS,D2422,QUAD_Q1,Q,quadrupole-25cm
FS1_BTS:Q_DFT_D2422,DRIFT,0.170799,242.364581,0.05,0.05,NONE,NONE,NONE,NONE,NONE,drift_1509
FS1_BTS:BPM_D2424,BPM,0,242.44998,0.0475,0.0475,FS1,BTS,D2424,BPM3b,BPM,position monitor
FS1_BTS:BPM_DFT_D2424,DRIFT,0.213201,242.556581,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_1511
FS1_SEE:DH_D2435,BEND,1.650252,243.488307,0.05,0.035,FS1,SEE,D2435,BEND_D4,DH,dipole-17.5deg
FS1_SEE:DH_DFT_D2435,DRIFT,0.181064,244.403966,0.05,0.035,NONE,NONE,NONE,NONE,NONE,drift_1515
FS1_SEE:GV_D2445,VALVE,0.057404,244.5232,0.05,0.05,FS1,SEE,D2445,NONE,GV,gate valve
FS1_SEE:GV_DFT_D2445,DRIFT,0.108788,244.606296,0.05,0.05,NONE,NONE,NONE,NONE,NONE,box
FS1_SEE:FOIL_D2446,FOIL,0,244.66069,0.05,0.05,FS1,SEE,D2446,F1,FOIL,"Foil for scattering/stripping, upstream"
FS1_SEE:FOIL_D2447,FOIL,0,244.66069,0.05,0.05,FS1,SEE,D2447,F2,FOIL,"Foil for scattering/stripping, downstream"
FS1_SEE:IP_D2447,PORT,0,244.66069,0.05,0.05,FS1,SEE,D2447,IP_L,IP,ion pump 300 l/s
FS1_SEE:IP_DFT_D2447_1,DRIFT,0.10416,244.71277,0.05,0.05,NONE,NONE,NONE,NONE,NONE,box
