name,type,L,s,apx,apy,system,subsystem,inst,dtype,device,desc
FE_ISRC1:ACC_DFT_D0700_1,DRIFT,0.016854,69.982568,0.150000,0.150000,NONE,NONE,NONE,NONE,NONE,drift_56
FE_ISRC1:ACC_DFT_D0700_2,DRIFT,0.190500,70.086245,0.150000,0.150000,NONE,NONE,NONE,NONE,NONE,drift_57
FE_ISRC1:ACC_DFT_D0700_3,DRIFT,0.025500,70.194245,0.150000,0.150000,NONE,NONE,NONE,NONE,NONE,drift_58
FE_SCS1:SOLR_D0704,SOL,0.399800,70.406895,0.150000,0.150000,FE,SCS1,D0704,SOL_S4b,SOLR,solenoid
FE_SCS1:SOLR_DFT_D0704,DRIFT,0.125100,70.669345,0.150000,0.150000,NONE,NONE,NONE,NONE,NONE,drift_60
FE_SCS1:TMP_D0707,PORT,0.000000,70.731895,0.150000,0.150000,FE,SCS1,D0707,TMP_M,TMP,"turbo pump, 700 l/s"
FE_SCS1:TMP_DFT_D0707,DRIFT,0.119750,70.791770,0.150000,0.150000,NONE,NONE,NONE,NONE,NONE,drift_62
FE_SCS1:DCHV_D0709,COR,0.190500,70.946895,0.150000,0.150000,FE,SCS1,D0709,C4,DCHV,corrector magnet & bellow
FE_SCS1:DCH_D0709,HCOR,0.000000,70.946895,0.150000,0.150000,FE,SCS1,D0709,C4,DCH,horiz. corrector magnet
FE_SCS1:DCV_D0709,VCOR,0.000000,70.946895,0.150000,0.150000,FE,SCS1,D0709,C4,DCV,vert. corrector magnet
FE_SCS1:DCHV_DFT_D0709,DRIFT,0.139750,71.112020,0.150000,0.150000,NONE,NONE,NONE,NONE,NONE,drift_65
FE_SCS1:DH_D0717,BEND,1.000000,71.681895,0.150000,0.120000,FE,SCS1,D0717,BEND_D5,DH,"dipole-90deg, D5-1"
FE_SCS1:TMP_D0717,PORT,0.000000,72.181895,0.150000,0.120000,FE,SCS1,D0717,TMP_M,TMP,"turbo pump, 700 l/s"
FE_SCS1:TMP_DFT_D0717,DRIFT,0.067050,72.215420,0.150000,0.150000,NONE,NONE,NONE,NONE,NONE,drift_70
FE_SCS1:DCHV_D0723,COR,0.190500,72.344195,0.150000,0.150000,FE,SCS1,D0723,C4,DCHV,corrector magnet & bellow
FE_SCS1:DCH_D0723,HCOR,0.000000,72.344195,0.150000,0.150000,FE,SCS1,D0723,C4,DCH,horiz. corrector magnet
FE_SCS1:DCV_D0723,VCOR,0.000000,72.344195,0.150000,0.150000,FE,SCS1,D0723,C4,DCV,vert. corrector magnet
FE_SCS1:DCHV_DFT_D0723,DRIFT,0.089850,72.484370,0.150000,0.150000,NONE,NONE,NONE,NONE,NONE,drift_72
