name,type,L,s,apx,apy,system,subsystem,inst,dtype,device,desc
REA_BTS10:BGV_D0862,VALVE,0.035000,86.240385,0.076200,0.076200,REA,BTS10,D0862,NONE,BGV,Beamline Gate Valve
REA_BTS10:BGV_DFT_D0862_1,DRIFT,0.135256,86.325512,0.076200,0.076200,NONE,NONE,NONE,NONE,NONE,drift_23
REA_BTS10:BGV_DFT_D0862_2,DRIFT,0.000000,86.393140,0.076200,0.076200,NONE,NONE,NONE,NONE,NONE,BOB1
REA_BTS10:FC_D0864,FC,0.000000,86.393140,0.076200,0.076200,REA,BTS10,D0864,FC,FC,"Faraday Cup, Top"
REA_BTS10:ATP_D0864,ATT,0.000000,86.393140,0.076200,0.076200,REA,BTS10,D0864,ATP,ATP,"Attenuator, Left"
REA_BTS10:VD_D0864,VD,0.000000,86.393140,0.076200,0.076200,REA,BTS10,D0864,VD,VD,"Viewer Plate, Right"
REA_BTS10:DCHV_D0865,COR,0.060000,86.423140,0.035000,0.035000,REA,BTS10,D0865,DCHV,DCHV,Flange Mounted X-Y ECorrectors
REA_BTS10:DCH_D0865,HCOR,0.000000,86.423140,0.035000,0.035000,REA,BTS10,D0865,DCHV,DCH,horiz. corrector magnet
REA_BTS10:DCV_D0865,VCOR,0.000000,86.423140,0.035000,0.035000,REA,BTS10,D0865,DCHV,DCV,vert. corrector magnet
REA_BTS10:DCHV_DFT_D0865,DRIFT,0.142968,86.524624,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_30
REA_BTS10:QE_D0867,EQUAD,0.150000,86.671108,0.055000,0.055000,REA,BTS10,D0867,QUAD_QE,QE,"Triplet, EQuad A"
REA_BTS10:QE_DFT_D0867,DRIFT,0.025006,86.758611,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_32
REA_BTS10:QE_D0869,EQUAD,0.150000,86.846114,0.055000,0.055000,REA,BTS10,D0869,QUAD_QE,QE,"Triplet, EQuad B"
REA_BTS10:DCHV_D0869,COR,0.000000,86.921114,0.055000,0.055000,REA,BTS10,D0869,DCHV,DCHV,"Ecorrectors, X-Y"
REA_BTS10:DCH_D0869,HCOR,0.000000,86.921114,0.055000,0.055000,REA,BTS10,D0869,DCHV,DCH,horiz. corrector magnet
REA_BTS10:DCV_D0869,VCOR,0.000000,86.921114,0.055000,0.055000,REA,BTS10,D0869,DCHV,DCV,vert. corrector magnet
REA_BTS10:DCHV_DFT_D0869,DRIFT,0.025006,86.933617,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_35
REA_BTS10:QE_D0871,EQUAD,0.150000,87.021120,0.055000,0.055000,REA,BTS10,D0871,QUAD_QE,QE,"Triplet, EQuad C"
REA_BTS10:QE_DFT_D0871,DRIFT,0.093031,87.142636,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_37
REA_BTS09:DCV_D0873,VCOR,0.138000,87.258151,0.066000,0.066000,REA,BTS09,D0873,DCV,DCV,Kicker66 for EBIT Injection
REA_BTS09:DCV_DFT_D0873,DRIFT,0.237880,87.446091,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_39
REA_BTS10:QE_D0884,EQUAD,0.150000,87.640031,0.055000,0.055000,REA,BTS10,D0884,QUAD_QE,QE,"Triplet, EQuad A"
REA_BTS10:QE_DFT_D0884,DRIFT,0.025006,87.727534,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_41
REA_BTS10:QE_D0886,EQUAD,0.150000,87.815037,0.055000,0.055000,REA,BTS10,D0886,QUAD_QE,QE,"Triplet, EQuad B"
REA_BTS10:DCHV_D0886,COR,0.060000,87.920037,0.055000,0.055000,REA,BTS10,D0886,DCHV,DCHV,"Ecorrectors, X-Y"
REA_BTS10:DCH_D0886,HCOR,0.000000,87.920037,0.055000,0.055000,REA,BTS10,D0886,DCHV,DCH,horiz. corrector magnet
REA_BTS10:DCV_D0886,VCOR,0.000000,87.920037,0.055000,0.055000,REA,BTS10,D0886,DCHV,DCV,vert. corrector magnet
REA_BTS10:DCHV_DFT_D0886,DRIFT,0.025006,87.962540,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_44
REA_BTS10:QE_D0888,EQUAD,0.150000,88.050043,0.055000,0.055000,REA,BTS10,D0888,QUAD_QE,QE,"Triplet, EQuad C"
REA_BTS10:QE_DFT_D0888,DRIFT,0.000000,88.125043,0.055000,0.055000,NONE,NONE,NONE,NONE,NONE,BOB2
REA_BTS10:MCPV_D0892,SD,0.000000,88.125043,0.055000,0.055000,REA,BTS10,D0892,MCPV,MCPV,"MultiChannel Plate, Top"
REA_BTS10:FCS_D0892,FC,0.000000,88.125043,0.055000,0.055000,REA,BTS10,D0892,FCS,FCS,"Faraday Cup, Left"
REA_BTS10:VD_D0892,VD,0.000000,88.125043,0.055000,0.055000,REA,BTS10,D0892,VD,VD,"Viewer Plate, Right"
REA_BTS10:DCHV_D0893,COR,0.060000,88.155043,0.035000,0.035000,REA,BTS10,D0893,DCHV,DCHV,Flange Mounted X-Y ECorrectors
REA_BTS10:DCH_D0893,HCOR,0.000000,88.155043,0.035000,0.035000,REA,BTS10,D0893,DCHV,DCH,horiz. corrector magnet
REA_BTS10:DCV_D0893,VCOR,0.000000,88.155043,0.035000,0.035000,REA,BTS10,D0893,DCHV,DCV,vert. corrector magnet
REA_BTS10:DCHV_DFT_D0893,DRIFT,0.035717,88.202902,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_52
REA_BTS10:BGV_D0894,VALVE,0.035000,88.238260,0.076200,0.076200,REA,BTS10,D0894,NONE,BGV,Beamline Gate Valve
REA_BTS10:BGV_DFT_D0894,DRIFT,0.303537,88.407528,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_54
REA_BTS10:DHE_D0900,EBEND,0.534856,88.826725,0.045000,0.045000,REA,BTS10,D0900,BEND_DHE,DHE,"Cyl Dipole Deflector, 45deg, 681mm radius"
REA_BTS10:DHE_DFT_D0900,DRIFT,0.165772,89.177038,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_56
REA_BTS10:QE_D0905,EQUAD,0.150000,89.334925,0.055000,0.055000,REA,BTS10,D0905,QUAD_QE,QE,"Singlet, Equad, & Y ECorrector"
REA_BTS10:DCV_D0905,VCOR,0.000000,89.409925,0.055000,0.055000,REA,BTS10,D0905,DCV,DCV,"Ecorrector, Y"
REA_BTS10:DCV_DFT_D0905,DRIFT,0.166272,89.493061,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_59
REA_BTS10:DHE_D0910,EBEND,0.534856,89.843625,0.045000,0.045000,REA,BTS10,D0910,BEND_DHE,DHE,"Cyl Dipole Deflector, 45deg, 681mm radius"
REA_BTS10:DHE_DFT_D0910,DRIFT,0.000000,90.111052,0.045000,0.045000,NONE,NONE,NONE,NONE,NONE,BOB3
REA_BTS10:SLHGAP_D0917,SLT,0.000000,90.111052,0.045000,0.045000,REA,BTS10,D0917,SLHGAP,SLHGAP,"Horizontal Slit, Gap"
REA_BTS10:SLHCEN_D0917,SLT,0.000000,90.111052,0.045000,0.045000,REA,BTS10,D0917,SLHCEN,SLHCEN,"Horizontal Slit, Center"
REA_BTS10:SLHCEN_DFT_D0917,DRIFT,0.528636,90.375370,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_65
REA_BTS10:FCS_D0918,FC,0.000000,90.639689,0.101850,0.101850,REA,BTS10,D0918,FCS,FCS,"Faraday Cup, Left"
REA_BTS10:VD_D0918,VD,0.000000,90.639689,0.101850,0.101850,REA,BTS10,D0918,VD,VD,Viewer Plate
REA_BTS10:DCHV_D0919,COR,0.060000,90.669689,0.035000,0.035000,REA,BTS10,D0919,DCHV,DCHV,Flange Mounted X-Y ECorrectors
REA_BTS10:DCH_D0919,HCOR,0.000000,90.669689,0.035000,0.035000,REA,BTS10,D0919,DCHV,DCH,horiz. corrector magnet
REA_BTS10:DCV_D0919,VCOR,0.000000,90.669689,0.035000,0.035000,REA,BTS10,D0919,DCHV,DCV,vert. corrector magnet
REA_BTS10:DCHV_DFT_D0919,DRIFT,0.087149,90.743263,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_70
REA_BTS10:QE_D0921,EQUAD,0.150000,90.861837,0.055000,0.055000,REA,BTS10,D0921,QUAD_QE,QE,"Doublet, EQuad A"
REA_BTS10:QE_DFT_D0921,DRIFT,0.030342,90.952009,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_72
REA_BTS10:QE_D0923,EQUAD,0.150000,91.042180,0.055000,0.055000,REA,BTS10,D0923,QUAD_QE,QE,"Doublet, Equad B"
REA_BTS10:QE_DFT_D0923,DRIFT,0.369044,91.301701,0.101850,0.101850,NONE,NONE,NONE,NONE,NONE,drift_74
