PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,pvPolicy,,,,,,,
# ION,,,,,,,,,,,,,,,,,,,
REA_EXP:A,A,ION_MASS,readback,-30,0,REA_EXP:BEAM,0,ION,LIVE,Ion mass,ION,DEFAULT,phantasy.sys.REA,,,,,,
REA_EXP:A,A,ION_MASS,setpoint,-30,0,REA_EXP:BEAM,0,ION,LIVE,Ion mass,ION,DEFAULT,phantasy.sys.REA,,,,,,
REA_EXP:Q,Q,ION_CHARGE,readback,-30,0,REA_EXP:BEAM,0,ION,LIVE,Ion charge,ION,DEFAULT,phantasy.sys.REA,,,,,,
REA_EXP:Q,Q,ION_CHARGE,setpoint,-30,0,REA_EXP:BEAM,0,ION,LIVE,Ion charge,ION,DEFAULT,phantasy.sys.REA,,,,,,
REA_EXP:Z,Z,ION_NUMBER,readback,-30,0,REA_EXP:BEAM,0,ION,LIVE,Ion number,ION,DEFAULT,phantasy.sys.REA,,,,,,
REA_EXP:Z,Z,ION_NUMBER,setpoint,-30,0,REA_EXP:BEAM,0,ION,LIVE,Ion number,ION,DEFAULT,phantasy.sys.REA,,,,,,
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DCHE_D0865:V_CSET,V,TM,setpoint,1,0,REA_BTS10:DCH_D0865,86.42314,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0865:V_RD,V,TM,readback,1,0,REA_BTS10:DCH_D0865,86.42314,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0865:ON_CMD,PWRSTS,POWER_STATUS,setpoint,1,0,REA_BTS10:DCH_D0865,86.42314,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0865:ON_RSTS,PWRSTS,POWER_STATUS,readback,1,0,REA_BTS10:DCH_D0865,86.42314,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DCVE_D0865:V_CSET,V,TM,setpoint,2,0,REA_BTS10:DCV_D0865,86.42314,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0865:V_RD,V,TM,readback,2,0,REA_BTS10:DCV_D0865,86.42314,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0865:ON_CMD,PWRSTS,POWER_STATUS,setpoint,2,0,REA_BTS10:DCV_D0865,86.42314,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0865:ON_RSTS,PWRSTS,POWER_STATUS,readback,2,0,REA_BTS10:DCV_D0865,86.42314,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:QE_D0867:V_CSET,V,VOLT,setpoint,3,0.15,REA_BTS10:QE_D0867,86.746108,EQUAD,LIVE,"Triplet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0867:V_RD,V,VOLT,readback,3,0.15,REA_BTS10:QE_D0867,86.746108,EQUAD,LIVE,"Triplet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0867:ON_CMD,PWRSTS,POWER_STATUS,setpoint,3,0.15,REA_BTS10:QE_D0867,86.746108,EQUAD,LIVE,"Triplet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0867:ON_RSTS,PWRSTS,POWER_STATUS,readback,3,0.15,REA_BTS10:QE_D0867,86.746108,EQUAD,LIVE,"Triplet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DCHE_D0869:V_CSET,V,TM,setpoint,4,0,REA_BTS10:DCH_D0869,86.921114,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0869:V_RD,V,TM,readback,4,0,REA_BTS10:DCH_D0869,86.921114,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0869:ON_CMD,PWRSTS,POWER_STATUS,setpoint,4,0,REA_BTS10:DCH_D0869,86.921114,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0869:ON_RSTS,PWRSTS,POWER_STATUS,readback,4,0,REA_BTS10:DCH_D0869,86.921114,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DCVE_D0869:V_CSET,V,TM,setpoint,5,0,REA_BTS10:DCV_D0869,86.921114,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0869:V_RD,V,TM,readback,5,0,REA_BTS10:DCV_D0869,86.921114,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0869:ON_CMD,PWRSTS,POWER_STATUS,setpoint,5,0,REA_BTS10:DCV_D0869,86.921114,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0869:ON_RSTS,PWRSTS,POWER_STATUS,readback,5,0,REA_BTS10:DCV_D0869,86.921114,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:QE_D0869:V_CSET,V,VOLT,setpoint,6,0.15,REA_BTS10:QE_D0869,87.09612,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
