PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,pvPolicy,,,,,,,
REA_BTS10:QE_D0869:V_RD,V,VOLT,readback,6,0.15,REA_BTS10:QE_D0869,87.09612,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0869:ON_CMD,PWRSTS,POWER_STATUS,setpoint,6,0.15,REA_BTS10:QE_D0869,87.09612,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0869:ON_RSTS,PWRSTS,POWER_STATUS,readback,6,0.15,REA_BTS10:QE_D0869,87.09612,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:QE_D0871:V_CSET,V,VOLT,setpoint,7,0.15,REA_BTS10:QE_D0871,87.09612,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0871:V_RD,V,VOLT,readback,7,0.15,REA_BTS10:QE_D0871,87.09612,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0871:ON_CMD,PWRSTS,POWER_STATUS,setpoint,7,0.15,REA_BTS10:QE_D0871,87.09612,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0871:ON_RSTS,PWRSTS,POWER_STATUS,readback,7,0.15,REA_BTS10:QE_D0871,87.09612,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:QE_D0884:V_CSET,V,VOLT,setpoint,8,0.15,REA_BTS10:QE_D0884,87.715031,EQUAD,LIVE,"Triplet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0884:V_RD,V,VOLT,readback,8,0.15,REA_BTS10:QE_D0884,87.715031,EQUAD,LIVE,"Triplet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0884:ON_CMD,PWRSTS,POWER_STATUS,setpoint,8,0.15,REA_BTS10:QE_D0884,87.715031,EQUAD,LIVE,"Triplet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0884:ON_RSTS,PWRSTS,POWER_STATUS,readback,8,0.15,REA_BTS10:QE_D0884,87.715031,EQUAD,LIVE,"Triplet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:QE_D0886:V_CSET,V,VOLT,setpoint,9,0.15,REA_BTS10:QE_D0886,87.890037,EQUAD,LIVE,"Triplet, EQuad B",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0886:V_RD,V,VOLT,readback,9,0.15,REA_BTS10:QE_D0886,87.890037,EQUAD,LIVE,"Triplet, EQuad B",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0886:ON_CMD,PWRSTS,POWER_STATUS,setpoint,9,0.15,REA_BTS10:QE_D0886,87.890037,EQUAD,LIVE,"Triplet, EQuad B",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0886:ON_RSTS,PWRSTS,POWER_STATUS,readback,9,0.15,REA_BTS10:QE_D0886,87.890037,EQUAD,LIVE,"Triplet, EQuad B",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DCHE_D0886:V_CSET,V,TM,setpoint,10,0,REA_BTS10:DCH_D0886,87.920037,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0886:V_RD,V,TM,readback,10,0,REA_BTS10:DCH_D0886,87.920037,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0886:ON_CMD,PWRSTS,POWER_STATUS,setpoint,10,0,REA_BTS10:DCH_D0886,87.920037,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0886:ON_RSTS,PWRSTS,POWER_STATUS,readback,10,0,REA_BTS10:DCH_D0886,87.920037,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DCVE_D0886:V_CSET,V,TM,setpoint,11,0,REA_BTS10:DCV_D0886,87.920037,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0886:V_RD,V,TM,readback,11,0,REA_BTS10:DCV_D0886,87.920037,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0886:ON_CMD,PWRSTS,POWER_STATUS,setpoint,11,0,REA_BTS10:DCV_D0886,87.920037,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0886:ON_RSTS,PWRSTS,POWER_STATUS,readback,11,0,REA_BTS10:DCV_D0886,87.920037,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:QE_D0888:V_CSET,V,VOLT,setpoint,12,0.15,REA_BTS10:QE_D0888,88.125043,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0888:V_RD,V,VOLT,readback,12,0.15,REA_BTS10:QE_D0888,88.125043,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0888:ON_CMD,PWRSTS,POWER_STATUS,setpoint,12,0.15,REA_BTS10:QE_D0888,88.125043,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0888:ON_RSTS,PWRSTS,POWER_STATUS,readback,12,0.15,REA_BTS10:QE_D0888,88.125043,EQUAD,LIVE,"Triplet, EQuad C",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DCHE_D0893:V_CSET,V,TM,setpoint,13,0,REA_BTS10:DCH_D0893,88.155043,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0893:V_RD,V,TM,readback,13,0,REA_BTS10:DCH_D0893,88.155043,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0893:ON_CMD,PWRSTS,POWER_STATUS,setpoint,13,0,REA_BTS10:DCH_D0893,88.155043,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0893:ON_RSTS,PWRSTS,POWER_STATUS,readback,13,0,REA_BTS10:DCH_D0893,88.155043,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DCVE_D0893:V_CSET,V,TM,setpoint,14,0,REA_BTS10:DCV_D0893,88.155043,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0893:V_RD,V,TM,readback,14,0,REA_BTS10:DCV_D0893,88.155043,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0893:ON_CMD,PWRSTS,POWER_STATUS,setpoint,14,0,REA_BTS10:DCV_D0893,88.155043,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0893:ON_RSTS,PWRSTS,POWER_STATUS,readback,14,0,REA_BTS10:DCV_D0893,88.155043,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DHE_D0900:V_CSET,V,VOLT,setpoint,15,0.534856,REA_BTS10:DHE_D0900,89.094153,EBEND,LIVE,"Cyl Dipole Deflector, 45deg, 681mm radius",BEND_DHE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DHE_D0900:V_RD,V,VOLT,readback,15,0.534856,REA_BTS10:DHE_D0900,89.094153,EBEND,LIVE,"Cyl Dipole Deflector, 45deg, 681mm radius",BEND_DHE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DHE_D0900:ON_CMD,PWRSTS,POWER_STATUS,setpoint,15,0.534856,REA_BTS10:DHE_D0900,89.094153,EBEND,LIVE,"Cyl Dipole Deflector, 45deg, 681mm radius",BEND_DHE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DHE_D0900:ON_RSTS,PWRSTS,POWER_STATUS,readback,15,0.534856,REA_BTS10:DHE_D0900,89.094153,EBEND,LIVE,"Cyl Dipole Deflector, 45deg, 681mm radius",BEND_DHE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:QE_D0905:V_CSET,V,VOLT,setpoint,16,0.15,REA_BTS10:QE_D0905,89.409925,EQUAD,LIVE,"Singlet, Equad, & Y ECorrector",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0905:V_RD,V,VOLT,readback,16,0.15,REA_BTS10:QE_D0905,89.409925,EQUAD,LIVE,"Singlet, Equad, & Y ECorrector",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0905:ON_CMD,PWRSTS,POWER_STATUS,setpoint,16,0.15,REA_BTS10:QE_D0905,89.409925,EQUAD,LIVE,"Singlet, Equad, & Y ECorrector",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0905:ON_RSTS,PWRSTS,POWER_STATUS,readback,16,0.15,REA_BTS10:QE_D0905,89.409925,EQUAD,LIVE,"Singlet, Equad, & Y ECorrector",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DCVE_D0905:V_CSET,V,TM,setpoint,17,0,REA_BTS10:DCV_D0905,89.409925,VCOR,LIVE,"Ecorrector, Y",DCV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0905:V_RD,V,TM,readback,17,0,REA_BTS10:DCV_D0905,89.409925,VCOR,LIVE,"Ecorrector, Y",DCV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0905:ON_CMD,PWRSTS,POWER_STATUS,setpoint,17,0,REA_BTS10:DCV_D0905,89.409925,VCOR,LIVE,"Ecorrector, Y",DCV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0905:ON_RSTS,PWRSTS,POWER_STATUS,readback,17,0,REA_BTS10:DCV_D0905,89.409925,VCOR,LIVE,"Ecorrector, Y",DCV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DHE_D0910:V_CSET,V,VOLT,setpoint,18,0.534856,REA_BTS10:DHE_D0910,90.111053,EBEND,LIVE,"Cyl Dipole Deflector, 45deg, 681mm radius",BEND_DHE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DHE_D0910:V_RD,V,VOLT,readback,18,0.534856,REA_BTS10:DHE_D0910,90.111053,EBEND,LIVE,"Cyl Dipole Deflector, 45deg, 681mm radius",BEND_DHE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DHE_D0910:ON_CMD,PWRSTS,POWER_STATUS,setpoint,18,0.534856,REA_BTS10:DHE_D0910,90.111053,EBEND,LIVE,"Cyl Dipole Deflector, 45deg, 681mm radius",BEND_DHE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DHE_D0910:ON_RSTS,PWRSTS,POWER_STATUS,readback,18,0.534856,REA_BTS10:DHE_D0910,90.111053,EBEND,LIVE,"Cyl Dipole Deflector, 45deg, 681mm radius",BEND_DHE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DCHE_D0919:V_CSET,V,TM,setpoint,19,0,REA_BTS10:DCH_D0919,90.669689,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0919:V_RD,V,TM,readback,19,0,REA_BTS10:DCH_D0919,90.669689,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0919:ON_CMD,PWRSTS,POWER_STATUS,setpoint,19,0,REA_BTS10:DCH_D0919,90.669689,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCHE_D0919:ON_RSTS,PWRSTS,POWER_STATUS,readback,19,0,REA_BTS10:DCH_D0919,90.669689,HCOR,LIVE,horiz. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:DCVE_D0919:V_CSET,V,TM,setpoint,20,0,REA_BTS10:DCV_D0919,90.669689,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0919:V_RD,V,TM,readback,20,0,REA_BTS10:DCV_D0919,90.669689,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0919:ON_CMD,PWRSTS,POWER_STATUS,setpoint,20,0,REA_BTS10:DCV_D0919,90.669689,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:DCVE_D0919:ON_RSTS,PWRSTS,POWER_STATUS,readback,20,0,REA_BTS10:DCV_D0919,90.669689,VCOR,LIVE,vert. corrector magnet,DCHV,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:QE_D0921:V_CSET,V,VOLT,setpoint,21,0.15,REA_BTS10:QE_D0921,90.936837,EQUAD,LIVE,"Doublet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0921:V_RD,V,VOLT,readback,21,0.15,REA_BTS10:QE_D0921,90.936837,EQUAD,LIVE,"Doublet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0921:ON_CMD,PWRSTS,POWER_STATUS,setpoint,21,0.15,REA_BTS10:QE_D0921,90.936837,EQUAD,LIVE,"Doublet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0921:ON_RSTS,PWRSTS,POWER_STATUS,readback,21,0.15,REA_BTS10:QE_D0921,90.936837,EQUAD,LIVE,"Doublet, EQuad A",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
,,,,,,,,,,,,,,,,,,,
REA_BTS10:QE_D0923:V_CSET,V,VOLT,setpoint,22,0.15,REA_BTS10:QE_D0923,91.11718,EQUAD,LIVE,"Doublet, Equad B",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
REA_BTS10:QE_D0923:V_RD,V,VOLT,readback,22,0.15,REA_BTS10:QE_D0923,91.11718,EQUAD,LIVE,"Doublet, Equad B",QUAD_QE,DEFAULT,phantasy.sys.REA,phantasy.sub.BTS10,BTS31,BTS33,BTS34,BTS45,BTS46
