name,type,L,s,apx,apy,system,subsystem,inst,dtype,device,desc
REA_RFQ:BGV_D1035,VALVE,0.035,103.5400024,0.0762,0.0762,REA,RFQ,D1035,NONE,BGV,Beamline Gate Valve
REA_RFQ:BGV_DFT_D1035_1,DRIFT,0.1632337,103.63911925,0.0762,0.0762,NONE,NONE,NONE,NONE,NONE,drift_171
REA_RFQ:BGV_DFT_D1035_2,DRIFT,0.0,103.7207361,0.0762,0.0762,NONE,NONE,NONE,NONE,NONE,BOX4
REA_RFQ:BGV_DFT_D1035_3,DRIFT,0.027051,103.7342616,0.0762,0.0762,NONE,NONE,NONE,NONE,NONE,drift_173
REA_BTS20:SLH_D1037,SLT,0.0,103.7477871,0.0762,0.0762,REA,BTS20,D1037,SLH,SLH,Horizontal Slit
REA_BTS20:SLH_DFT_D1037,DRIFT,0.007366,103.7514701,0.0762,0.0762,NONE,NONE,NONE,NONE,NONE,drift_175
REA_BTS20:SLV_D1038,SLT,0.0,103.7551531,0.0762,0.0762,REA,BTS20,D1038,SLV,SLV,Vertical Slit
REA_BTS20:SLV_DFT_D1038,DRIFT,-0.059614,103.7253461,0.0762,0.0762,NONE,NONE,NONE,NONE,NONE,drift_177
REA_BTS20:ATP_D1037,ATT,0.0,103.6955391,0.0762,0.0762,REA,BTS20,D1037,ATP,ATP,Vertical Slit
REA_BTS20:ATP_DFT_D1037,DRIFT,0.170834,103.7809561,0.0762,0.0762,NONE,NONE,NONE,NONE,NONE,drift_179
REA_BTS20:DD_D1039,SLT,0.0,103.8663731,0.0762,0.0762,REA,BTS20,D1039,DD,DD,"45deg Slit Drive, Top-Right"
REA_BTS20:DD_DFT_D1039,DRIFT,0.035338,103.8840421,0.0762,0.0762,NONE,NONE,NONE,NONE,NONE,drift_181
REA_BTS20:TID_D1039,SD,0.0,103.9017111,0.0762,0.0762,REA,BTS20,D1039,TID,TID,Timing Detector
REA_BTS20:TID_DFT_D1039,DRIFT,0.03241,103.9179161,0.0762,0.0762,NONE,NONE,NONE,NONE,NONE,drift_183
REA_BTS20:FC_D1039,FC,0.0,103.9341211,0.0762,0.0762,REA,BTS20,D1039,FC,FC,Faraday Cup
REA_BTS20:FC_DFT_D1039,DRIFT,0.2089608,104.0386015,0.0762,0.0762,NONE,NONE,NONE,NONE,NONE,drift_185
REA_CK01:BGV_D1042,VALVE,0.035,104.1605819,0.0508,0.0508,REA,CK01,D1042,NONE,BGV,Beamline Gate Valve
REA_CK01:BGV_DFT_D1042,DRIFT,0.2310579,104.29361085,0.0508,0.0508,NONE,NONE,NONE,NONE,NONE,drift_187
REA_CK01:SOL_D1045,SOLCOR,0.2,104.5091398,0.02,0.02,REA,CK01,D1045,SOL_SOL,SOL,9T SC Solenoid + Corrector Pair
REA_CK01:DCH_D1045,HCOR,0.0,104.5091398,0.02,0.02,REA,CK01,D1045,SOL,DCH,horiz. corrector magnet
REA_CK01:DCV_D1045,VCOR,0.0,104.5091398,0.02,0.02,REA,CK01,D1045,SOL,DCV,vert. corrector magnet
REA_CK01:SOL_DFT_D1045,DRIFT,0.1229983,104.67063895,0.02,0.02,NONE,NONE,NONE,NONE,NONE,drift_189
REA_CK01:CAV_D1049,CAV,0.24,104.8521381,0.015,0.015,REA,CK01,D1049,"Cavity, Beta = 0.041",CAV,"Cavity, Beta = 0.041"
