name,type,L,s,apx,apy,system,subsystem,inst,dtype,device,desc
FS_PTG:PTA_D1000,PTA,0.000000,100.000000,0.040000,0.040000,FS,PTG,D1000,PTA,PTA,target and object position
FS_PTG:ROT_D1000,ROT,0.000000,100.000000,0.040000,0.040000,FS,PTG,D1000,ROT,ROT,"Virtual element for xy rotation 90 deg, FLAME"
FS_PTG:ROT_DFT_D1000_1,DRIFT,0.102000,100.051000,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_12
FS_PTG:ROT_DFT_D1000_2,DRIFT,0.400000,100.302000,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,space for post-target shield
FS_PTG:ROT_DFT_D1000_3,DRIFT,0.031530,100.517765,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_14
FS_PTG:ROT_DFT_D1000_4,DRIFT,0.093000,100.580030,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,space for vacuum separation valve
FS_PTG:ROT_DFT_D1000_5,DRIFT,0.361633,100.807347,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_16
FS_F1S1:Q_D1013,QUAD,0.623673,101.300000,0.208000,0.208000,FS,F1S1,D1013,QUAD_FSQ1,Q,RT quadrupole
FS_F1S1:Q_DFT_D1013_1,DRIFT,0.188163,101.705918,0.208000,0.208000,NONE,NONE,NONE,NONE,NONE,drift_18
FS_F1S1:Q_DFT_D1013_2,DRIFT,0.176000,101.888000,0.208000,0.208000,NONE,NONE,NONE,NONE,NONE,front shield for WIQ2
FS_F1S1:Q_D1024,QUAD,0.798000,102.375000,0.260000,0.260000,FS,F1S1,D1024,QUAD_FSQ2,Q,SC quadrupole with higher-order correctors
FS_F1S1:S_D1024,SEXT,0.000000,102.375000,0.260000,0.260000,FS,F1S1,D1024,SEXT_FSQ2,S,
FS_F1S1:OCT_D1024,OCT,0.000000,102.375000,0.260000,0.260000,FS,F1S1,D1024,OCT_FSQ2,OCT,
FS_F1S1:OCT_DFT_D1024,DRIFT,0.302000,102.925000,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_23
FS_F1S1:Q_D1035,QUAD,0.798000,103.475000,0.260000,0.260000,FS,F1S1,D1035,QUAD_FSQ2,Q,SC quadrupole with higher-order correctors
FS_F1S1:S_D1035,SEXT,0.000000,103.475000,0.260000,0.260000,FS,F1S1,D1035,SEXT_FSQ2,S,
FS_F1S1:OCT_D1035,OCT,0.000000,103.475000,0.260000,0.260000,FS,F1S1,D1035,OCT_FSQ2,OCT,
FS_F1S1:OCT_DFT_D1035,DRIFT,0.276000,104.012000,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_27
FS_F1S1:CLLM_D1045,CLLM,0.600000,104.450000,0.260000,0.260000,FS,F1S1,D1045,CLLM,CLLM,
FS_F1S1:CLLM_DFT_D1045_1,DRIFT,0.431369,104.965684,0.260000,0.260000,NONE,NONE,NONE,NONE,NONE,drift_29
