----------------------------------------------------------------------
NAME                                        VAL                   HOST
----------------------------------------------------------------------
FE_SCS1:DCH_D0709:I_CSET               0.000000      10.41.200.83:5064
FE_SCS1:DCH_D0709:I_RSET               0.000000   steiner-ioc.cts:5064
FE_SCS1:DCH_D0709:I_RD                 0.001298      10.41.200.83:5064
FE_SCS1:DCV_D0709:I_CSET               0.000000      10.41.200.83:5064
FE_SCS1:DCV_D0709:I_RSET               0.000000      10.41.200.83:5064
FE_SCS1:DCV_D0709:I_RD                -0.020591      10.41.200.83:5064
FE_SCS1:DH_D0717:I_CSET                0.000000      10.41.200.83:5064
FE_SCS1:DH_D0717:I_RSET                0.000000      10.41.200.83:5064
FE_SCS1:DH_D0717:I_RD                  0.041365      10.41.200.83:5064
FE_SCS1:DCH_D0723:I_CSET               0.000000      10.41.200.83:5064
FE_SCS1:DCH_D0723:I_RSET               0.000000   steiner-ioc.cts:5064
FE_SCS1:DCH_D0723:I_RD                -0.038278      10.41.200.83:5064
FE_SCS1:DCV_D0723:I_CSET               0.000000      10.41.200.83:5064
FE_SCS1:DCV_D0723:I_RSET               0.000000      10.41.200.83:5064
FE_SCS1:DCV_D0723:I_RD                 0.026078      10.41.200.83:5064
FE_SCS1:QE_D0726:V_CSET                0.000000      10.41.200.83:5064
FE_SCS1:QE_D0726:V_RSET                0.000000      10.41.200.83:5064
FE_SCS1:QE_D0726:V_RD                  0.007911      10.41.200.83:5064
FE_SCS1:QE_D0730:V_CSET            -3302.150000      10.41.200.83:5064
FE_SCS1:QE_D0730:V_RSET                0.000000      10.41.200.83:5064
FE_SCS1:QE_D0730:V_RD                 -0.023146      10.41.200.83:5064
FE_SCS1:QE_D0733:V_CSET             1589.840000      10.41.200.83:5064
FE_SCS1:QE_D0733:V_RSET                0.000000      10.41.200.83:5064
FE_SCS1:QE_D0733:V_RD                  0.025598      10.41.200.83:5064
FE_SCS1:QE_D0743:V_CSET             1589.840000      10.41.200.83:5064
FE_SCS1:QE_D0743:V_RSET                0.000000      10.41.200.83:5064
FE_SCS1:QE_D0743:V_RD                  0.005127      10.41.200.83:5064
FE_SCS1:QE_D0746:V_CSET            -3302.150000      10.41.200.83:5064
FE_SCS1:QE_D0746:V_RSET                0.000000      10.41.200.83:5064
FE_SCS1:QE_D0746:V_RD                 -0.015319      10.41.200.83:5064
FE_SCS1:QE_D0749:V_CSET             1755.570000      10.41.200.83:5064
FE_SCS1:QE_D0749:V_RSET                0.000000      10.41.200.83:5064
FE_SCS1:QE_D0749:V_RD                  0.011773      10.41.200.83:5064
FE_LEBT:DH_D0759:I_CSET                0.000000      10.41.200.83:5064
FE_LEBT:DH_D0759:I_RSET                0.000000      10.41.200.83:5064
FE_LEBT:DH_D0759:I_RD                  0.018965      10.41.200.83:5064
FE_LEBT:QE_D0767:V_CSET             -157.955000      10.41.200.83:5064
FE_LEBT:QE_D0767:V_RSET                0.000000      10.41.200.83:5064
FE_LEBT:QE_D0767:V_RD                 -0.051761      10.41.200.83:5064
FE_LEBT:QE_D0770:V_CSET              558.097000      10.41.200.83:5064
FE_LEBT:QE_D0770:V_RSET                0.000000      10.41.200.83:5064
FE_LEBT:QE_D0770:V_RD                 -0.058430      10.41.200.83:5064
FE_LEBT:DCH_D0773:I_CSET               0.000000      10.41.200.83:5064
FE_LEBT:DCH_D0773:I_RSET               0.000000      10.41.200.83:5064
FE_LEBT:DCH_D0773:I_RD                -0.015895      10.41.200.83:5064
FE_LEBT:DCV_D0773:I_CSET               0.000000      10.41.200.83:5064
FE_LEBT:DCV_D0773:I_RSET               0.000000      10.41.200.83:5064
FE_LEBT:DCV_D0773:I_RD                -0.024588      10.41.200.83:5064
FE_LEBT:QE_D0776:V_CSET             -968.963000      10.41.200.83:5064
FE_LEBT:QE_D0776:V_RSET                0.000000      10.41.200.83:5064
FE_LEBT:QE_D0776:V_RD                  0.006181      10.41.200.83:5064
FE_LEBT:QE_D0780:V_CSET              604.398000      10.41.200.83:5064
FE_LEBT:QE_D0780:V_RSET                0.000000      10.41.200.83:5064
FE_LEBT:QE_D0780:V_RD                 -0.013875      10.41.200.83:5064
FE_LEBT:PM_D0783:X_RD                      none         <disconnected>
FE_LEBT:PM_D0783:Y_RD                      none         <disconnected>
FE_LEBT:PM_D0783:XY_RD                     none         <disconnected>
FE_LEBT:PM_D0783:XRMS_RD                   none         <disconnected>
FE_LEBT:PM_D0783:YRMS_RD                   none         <disconnected>
FE_LEBT:PM_D0783:XYRMS_RD                  none         <disconnected>
FE_LEBT:SOLR_D0787:I_CSET              0.000000      10.41.200.83:5064
FE_LEBT:SOLR_D0787:I_RSET              0.000000      10.41.200.83:5064
FE_LEBT:SOLR_D0787:I_RD                0.077279      10.41.200.83:5064
FE_LEBT:DCH_D0790:I_CSET               0.000000      10.41.200.83:5064
FE_LEBT:DCH_D0790:I_RSET               0.000000      10.41.200.83:5064
FE_LEBT:DCH_D0790:I_RD                 0.042647      10.41.200.83:5064
FE_LEBT:DCV_D0790:I_CSET               0.000000      10.41.200.83:5064
FE_LEBT:DCV_D0790:I_RSET               0.000000      10.41.200.83:5064
FE_LEBT:DCV_D0790:I_RD                -0.047680      10.41.200.83:5064
FE_LEBT:SOLR_D0802:I_CSET              0.000000      10.41.200.83:5064
FE_LEBT:SOLR_D0802:I_RSET              0.000000      10.41.200.83:5064
FE_LEBT:SOLR_D0802:I_RD               -0.019397      10.41.200.83:5064
FE_LEBT:DCH_D0805:I_CSET               0.000000      10.41.200.83:5064
FE_LEBT:DCH_D0805:I_RSET               0.000000      10.41.200.83:5064
FE_LEBT:DCH_D0805:I_RD                -0.007785      10.41.200.83:5064
FE_LEBT:DCV_D0805:I_CSET               0.000000      10.41.200.83:5064
FE_LEBT:DCV_D0805:I_RSET               0.000000      10.41.200.83:5064
FE_LEBT:DCV_D0805:I_RD                 0.004950      10.41.200.83:5064
FE_LEBT:PM_D0808:X_RD                      none         <disconnected>
FE_LEBT:PM_D0808:Y_RD                      none         <disconnected>
FE_LEBT:PM_D0808:XY_RD                     none         <disconnected>
FE_LEBT:PM_D0808:XRMS_RD                   none         <disconnected>
FE_LEBT:PM_D0808:YRMS_RD                   none         <disconnected>
FE_LEBT:PM_D0808:XYRMS_RD                  none         <disconnected>
FE_LEBT:SOLR_D0818:I_CSET              0.000000      10.41.200.83:5064
FE_LEBT:SOLR_D0818:I_RSET              0.000000      10.41.200.83:5064
FE_LEBT:SOLR_D0818:I_RD                0.010953      10.41.200.83:5064
FE_LEBT:DCH_D0821:I_CSET               0.000000      10.41.200.83:5064
FE_LEBT:DCH_D0821:I_RSET               0.000000      10.41.200.83:5064
FE_LEBT:DCH_D0821:I_RD                 0.018665      10.41.200.83:5064
FE_LEBT:DCV_D0821:I_CSET               0.000000      10.41.200.83:5064
FE_LEBT:DCV_D0821:I_RSET               0.000000      10.41.200.83:5064
FE_LEBT:DCV_D0821:I_RD                -0.025377      10.41.200.83:5064
FE_LEBT:PM1_D0824:X_RD                     none         <disconnected>
FE_LEBT:PM1_D0824:Y_RD                     none         <disconnected>
FE_LEBT:PM1_D0824:XY_RD                    none         <disconnected>
FE_LEBT:PM1_D0824:XRMS_RD                  none         <disconnected>
FE_LEBT:PM1_D0824:YRMS_RD                  none         <disconnected>
FE_LEBT:PM1_D0824:XYRMS_RD                 none         <disconnected>
FE_LEBT:DVE_D0833:V_CSET             484.373000      10.41.200.83:5064
FE_LEBT:DVE_D0833:V_RSET               0.000000      10.41.200.83:5064
