name,type,L,s,apx,apy,subsystem,dtype,system,inst,device,desc
FE_RFQ:IP_DFT_D1045_3,DRIFT,0.05790655,105.101478575,0.03,0.03,NONE,NONE,NONE,NONE,NONE,bellow
FE_MEBT:GV_D1052,VALVE,0.060706,105.16078485,0.03,0.03,MEBT,NONE,FE,D1052,GV,gate valve
FE_MEBT:GV_DFT_D1052,DRIFT,0.13118335,105.256729525,0.03,0.03,NONE,NONE,NONE,NONE,NONE,drift_276
FE_MEBT:IP_D1053,PORT,0.0,105.3223212,0.03,0.03,MEBT,IP_S,FE,D1053,IP,"ion pump, 75 l/s"
FE_MEBT:IP_DFT_D1053,DRIFT,0.1229106,105.3837765,0.03,0.03,NONE,NONE,NONE,NONE,NONE,drift_279
FE_MEBT:BCM_D1055,BCM,0.04,105.4652318,0.03,0.03,MEBT,BCM1,FE,D1055,BCM,AC current transformer
FE_MEBT:BCM_DFT_D1055,DRIFT,0.10349865,105.536981125,0.03,0.03,NONE,NONE,NONE,NONE,NONE,BPM bellow
FE_MEBT:BPM_D1056,BPM,0.0,105.58873045,0.04,0.04,MEBT,BPM1,FE,D1056,BPM,position monitor
FE_MEBT:BPM_DFT_D1056,DRIFT,0.10662865,105.642044775,0.03,0.03,NONE,NONE,NONE,NONE,NONE,drift_283
FE_MEBT:Q_D1057,QUAD,0.1,105.7453591,0.0475,0.0475,MEBT,QUAD_Q8,FE,D1057,Q,"quad, triplet 1-1"
FE_MEBT:Q_DFT_D1057,DRIFT,0.1,105.8453591,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_285
FE_MEBT:Q_D1060,QUAD,0.15,105.9703591,0.0475,0.0475,MEBT,QUAD_Q9,FE,D1060,Q,"quad, triplet 1-2"
FE_MEBT:Q_DFT_D1060,DRIFT,0.1,106.0953591,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_287
FE_MEBT:Q_D1062,QUAD,0.1,106.1953591,0.0475,0.0475,MEBT,QUAD_Q10,FE,D1062,Q,"quad+steerers, triplet 1-3"
FE_MEBT:DCHV_D1062,COR,0.0,106.2453591,0.0475,0.0475,MEBT,Q10,FE,D1062,DCHV,"quad+steerers, triplet 1-3"
FE_MEBT:DCH_D1062,HCOR,0.0,106.2453591,0.0475,0.0475,MEBT,Q10,FE,D1062,DCH,horiz. corrector magnet
FE_MEBT:DCV_D1062,VCOR,0.0,106.2453591,0.0475,0.0475,MEBT,Q10,FE,D1062,DCV,vert. corrector magnet
FE_MEBT:DCHV_DFT_D1062,DRIFT,0.2509162,106.3708172,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,bellow?
FE_MEBT:CAV_D1066,CAV,0.3,106.6462753,0.03,0.03,MEBT,rebuncher,FE,D1066,CAV,rebuncher
FE_MEBT:IP_D1066,PORT,0.0,106.8062753,0.03,0.03,MEBT,IP_L,FE,D1068,IP,"ion pump, 300 l/s"
FE_MEBT:IP_DFT_D1068_1,DRIFT,0.2322224,106.9123865,0.03,0.03,NONE,NONE,NONE,NONE,NONE,bellow+tube ??
FE_MEBT:IP_DFT_D1068_2,DRIFT,0.0,107.0284977,0.03,0.03,NONE,NONE,NONE,NONE,NONE,6 way cross ??
FE_MEBT:IP_D1070,PORT,0.0,107.0284977,0.03,0.03,MEBT,IP_S,FE,D1070,IP,"ion pump, 75 l/s"
FE_MEBT:FAVS_D1070,VALVE,0.0,107.0284977,0.03,0.03,MEBT,NONE,FE,D1070,FAVS,fast valve sensor
FE_MEBT:FAVS_DFT_D1070,DRIFT,0.21443942,107.13571741,0.03,0.03,NONE,NONE,NONE,NONE,NONE,drift_297
FE_MEBT:BPM_D1072,BPM,0.0,107.24293712,0.04,0.04,MEBT,BPM1,FE,D1072,BPM,position monitor
FE_MEBT:BPM_DFT_D1072,DRIFT,0.10662865,107.296251445,0.03,0.03,NONE,NONE,NONE,NONE,NONE,drift_299
FE_MEBT:Q_D1074,QUAD,0.1,107.39956577,0.0475,0.0475,MEBT,QUAD_Q8,FE,D1074,Q,"quad, triplet 2-1"
FE_MEBT:Q_DFT_D1074,DRIFT,0.1,107.49956577,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_301
