name,type,L,s,apx,apy,subsystem,dtype,system,inst,device,desc
FE_MEBT:Q_D1076,QUAD,0.15,107.62456577,0.0475,0.0475,MEBT,QUAD_Q9,FE,D1076,Q,"quad, triplet 2-2"
FE_MEBT:Q_DFT_D1076,DRIFT,0.1,107.74956577,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_303
FE_MEBT:Q_D1078,QUAD,0.1,107.84956577,0.0475,0.0475,MEBT,QUAD_Q10,FE,D1078,Q,"quad+steerers, triplet 2-3"
FE_MEBT:DCHV_D1078,COR,0.0,107.89956577,0.0475,0.0475,MEBT,Q10,FE,D1078,DCHV,"quad+steerers, triplet 2-3"
FE_MEBT:DCH_D1078,HCOR,0.0,107.89956577,0.0475,0.0475,MEBT,Q10,FE,D1078,DCH,horiz. corrector magnet
FE_MEBT:DCV_D1078,VCOR,0.0,107.89956577,0.0475,0.0475,MEBT,Q10,FE,D1078,DCV,vert. corrector magnet
FE_MEBT:DCHV_DFT_D1078,DRIFT,0.69723391,108.248182725,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_307
FE_MEBT:DH_D1086,BEND,0.0,108.59679968,0.04,0.04,MEBT,BEND_D6,FE,D1086,DH,"dipole-45deg, D6 (straight leg)"
FE_MEBT:DH_DFT_D1086,DRIFT,0.56200072,108.87780004,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_309
FE_MEBT:PM_D1092,PM,0.0,109.1588004,0.04,0.04,MEBT,PM1,FE,D1092,PM,profile monitor (small fork)
FE_MEBT:IP_D1092,PORT,0.0,109.1588004,0.04,0.04,MEBT,IP_S,FE,D1092,IP,"ion pump, 75 l/s"
FE_MEBT:IP_DFT_D1092,DRIFT,0.22640925,109.272005025,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow ?
FE_MEBT:BPM_D1094,BPM,0.0,109.38520965,0.04,0.04,MEBT,BPM1,FE,D1094,BPM,position monitor
FE_MEBT:BPM_DFT_D1094,DRIFT,0.10662865,109.438523975,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_314
FE_MEBT:Q_D1095,QUAD,0.1,109.5418383,0.0475,0.0475,MEBT,QUAD_Q8,FE,D1095,Q,"quad, triplet 3-1"
FE_MEBT:Q_DFT_D1095,DRIFT,0.1,109.6418383,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_317
FE_MEBT:Q_D1098,QUAD,0.15,109.7668383,0.0475,0.0475,MEBT,QUAD_Q9,FE,D1098,Q,"quad, triplet 3-2"
FE_MEBT:Q_DFT_D1098,DRIFT,0.1,109.8918383,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_319
FE_MEBT:Q_D1100,QUAD,0.1,109.9918383,0.0475,0.0475,MEBT,QUAD_Q10,FE,D1100,Q,"quad+steerers, triplet 3-3"
FE_MEBT:DCHV_D1100,COR,0.0,110.0418383,0.0475,0.0475,MEBT,Q10,FE,D1100,DCHV,"quad+steerers, triplet 3-3"
FE_MEBT:DCH_D1100,HCOR,0.0,110.0418383,0.0475,0.0475,MEBT,Q10,FE,D1100,DCH,horiz. corrector magnet
FE_MEBT:DCV_D1100,VCOR,0.0,110.0418383,0.0475,0.0475,MEBT,Q10,FE,D1100,DCV,vert. corrector magnet
FE_MEBT:DCHV_DFT_D1100,DRIFT,0.170643,110.1271598,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_322
FE_MEBT:FC_D1102,FC,0.0,110.2124813,0.04,0.04,MEBT,FC3,FE,D1102,FC,beam stopper / faraday cup
FE_MEBT:FFC_D1102,FC,0.0,110.2124813,0.04,0.04,MEBT,LPM1,FE,D1102,FFC,fast faraday cup
FE_MEBT:IP_D1102,PORT,0.0,110.2124813,0.04,0.04,MEBT,IP_S,FE,D1102,IP,"ion pump, 75 l/s"
FE_MEBT:IP_DFT_D1102,DRIFT,0.1130275,110.26899505,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_326
FE_MEBT:GV_D1104,VALVE,0.060711,110.3558643,0.04,0.04,MEBT,NONE,FE,D1104,GV,gate valve
FE_MEBT:GV_DFT_D1104,DRIFT,0.1933055,110.48287255,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_328
FE_MEBT:CAV_D1107,CAV,0.3,110.7295253,0.03,0.03,MEBT,rebuncher,FE,D1107,CAV,rebuncher
FE_MEBT:IP_D1107,PORT,0.0,110.8895253,0.03,0.03,MEBT,IP_L,FE,D1109,IP,"ion pump, 300 l/s"
FE_MEBT:IP_DFT_D1109,DRIFT,0.22062135,110.989835975,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow+tube
FE_MEBT:BPM_D1111,BPM,0.0,111.10014665,0.04,0.04,MEBT,BPM1,FE,D1111,BPM,position monitor
FE_MEBT:BPM_DFT_D1111,DRIFT,0.10662865,111.153460975,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_333
FE_MEBT:Q_D1113,QUAD,0.1,111.2567753,0.0475,0.0475,MEBT,QUAD_Q8,FE,D1113,Q,"quad, triplet 4-1"
FE_MEBT:Q_DFT_D1113,DRIFT,0.1,111.3567753,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_336
FE_MEBT:Q_D1115,QUAD,0.15,111.4817753,0.0475,0.0475,MEBT,QUAD_Q9,FE,D1115,Q,"quad, triplet 4-2"
FE_MEBT:Q_DFT_D1115,DRIFT,0.1,111.6067753,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_338
FE_MEBT:Q_D1117,QUAD,0.1,111.7067753,0.0475,0.0475,MEBT,QUAD_Q10,FE,D1117,Q,"quad+steerers, triplet 4-3"
FE_MEBT:DCHV_D1117,COR,0.0,111.7567753,0.0475,0.0475,MEBT,Q10,FE,D1117,DCHV,"quad+steerers, triplet 4-3"
FE_MEBT:DCH_D1117,HCOR,0.0,111.7567753,0.0475,0.0475,MEBT,Q10,FE,D1117,DCH,horiz. corrector magnet
FE_MEBT:DCV_D1117,VCOR,0.0,111.7567753,0.0475,0.0475,MEBT,Q10,FE,D1117,DCV,vert. corrector magnet
FE_MEBT:DCHV_DFT_D1117,DRIFT,0.05761000011,111.7855803,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
FE_MEBT:FAV_D1118,VALVE,0.056602,111.8426863,0.04,0.04,MEBT,NONE,FE,D1118,FAV,fast valve
FE_MEBT:FAV_DFT_D1118,DRIFT,0.11747769989,111.92972615,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_344
FE_MEBT:BCM_D1120,BCM,0.04,112.008465,0.04,0.04,MEBT,BCM1,FE,D1120,BCM,AC current transformer
FE_MEBT:BCM_DFT_D1120,DRIFT,0.11303,112.08498,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_348
FE_MEBT:IP_D1121,PORT,0.0,112.141495,0.04,0.04,MEBT,IP_S,FE,D1121,IP,"ion pump, 75 l/s"
FE_MEBT:IP_DFT_D1121_1,DRIFT,0.23050309,112.256746545,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_350
