name,type,L,s,apx,apy,system,subsystem,inst,dtype,device,desc
FE_RFQ:IP_DFT_D1045_3,DRIFT,0.057907,105.101479,0.030000,0.030000,NONE,NONE,NONE,NONE,NONE,bellow
FE_MEBT:GV_D1052,VALVE,0.060706,105.160785,0.030000,0.030000,FE,MEBT,D1052,NONE,GV,gate valve
FE_MEBT:GV_DFT_D1052,DRIFT,0.131183,105.256730,0.030000,0.030000,NONE,NONE,NONE,NONE,NONE,drift_290
FE_MEBT:IP_D1053,PORT,0.000000,105.322321,0.030000,0.030000,FE,MEBT,D1053,IP_S,IP,"ion pump, 75 l/s"
FE_MEBT:IP_DFT_D1053,DRIFT,0.122911,105.383776,0.030000,0.030000,NONE,NONE,NONE,NONE,NONE,drift_293
FE_MEBT:BCM_D1055,BCM,0.040000,105.465232,0.030000,0.030000,FE,MEBT,D1055,BCM2,BCM,AC current transformer
FE_MEBT:BCM_DFT_D1055,DRIFT,0.103499,105.536981,0.030000,0.030000,NONE,NONE,NONE,NONE,NONE,BPM bellow
FE_MEBT:BPM_D1056,BPM,0.000000,105.588730,0.040000,0.040000,FE,MEBT,D1056,BPM1,BPM,position monitor
FE_MEBT:BPM_DFT_D1056,DRIFT,0.106629,105.642045,0.030000,0.030000,NONE,NONE,NONE,NONE,NONE,drift_297
FE_MEBT:Q_D1057,QUAD,0.100000,105.745359,0.047500,0.047500,FE,MEBT,D1057,QUAD_Q8,Q,"quad, triplet 1-1"
FE_MEBT:Q_DFT_D1057,DRIFT,0.100000,105.845359,0.047500,0.047500,NONE,NONE,NONE,NONE,NONE,drift_299
FE_MEBT:Q_D1060,QUAD,0.150000,105.970359,0.047500,0.047500,FE,MEBT,D1060,QUAD_Q9,Q,"quad, triplet 1-2"
FE_MEBT:Q_DFT_D1060,DRIFT,0.100000,106.095359,0.047500,0.047500,NONE,NONE,NONE,NONE,NONE,drift_301
FE_MEBT:Q_D1062,QUAD,0.100000,106.195359,0.047500,0.047500,FE,MEBT,D1062,QUAD_Q10,Q,"quad+steerers, triplet 1-3"
FE_MEBT:DCHV_D1062,COR,0.000000,106.245359,0.047500,0.047500,FE,MEBT,D1062,Q10,DCHV,"quad+steerers, triplet 1-3"
FE_MEBT:DCH_D1062,HCOR,0.000000,106.245359,0.047500,0.047500,FE,MEBT,D1062,Q10,DCH,horiz. corrector magnet
FE_MEBT:DCV_D1062,VCOR,0.000000,106.245359,0.047500,0.047500,FE,MEBT,D1062,Q10,DCV,vert. corrector magnet
FE_MEBT:DCHV_DFT_D1062,DRIFT,0.250916,106.370817,0.047500,0.047500,NONE,NONE,NONE,NONE,NONE,bellow?
FE_MEBT:CAV_D1066,CAV,0.300000,106.646275,0.030000,0.030000,FE,MEBT,D1066,rebuncher,CAV,rebuncher
FE_MEBT:IP_D1066,PORT,0.000000,106.806275,0.030000,0.030000,FE,MEBT,D1068,IP_L,IP,"ion pump, 300 l/s"
FE_MEBT:IP_DFT_D1068_1,DRIFT,0.232222,106.912387,0.030000,0.030000,NONE,NONE,NONE,NONE,NONE,bellow+tube ??
FE_MEBT:IP_DFT_D1068_2,DRIFT,0.000000,107.028498,0.030000,0.030000,NONE,NONE,NONE,NONE,NONE,6 way cross ??
FE_MEBT:IP_D1070,PORT,0.000000,107.028498,0.030000,0.030000,FE,MEBT,D1070,IP_S,IP,"ion pump, 75 l/s"
FE_MEBT:FAVS_D1070,VALVE,0.000000,107.028498,0.030000,0.030000,FE,MEBT,D1070,NONE,FAVS,fast valve sensor
FE_MEBT:FAVS_DFT_D1070,DRIFT,0.214439,107.135717,0.030000,0.030000,NONE,NONE,NONE,NONE,NONE,drift_311
FE_MEBT:BPM_D1072,BPM,0.000000,107.242937,0.040000,0.040000,FE,MEBT,D1072,BPM1,BPM,position monitor
FE_MEBT:BPM_DFT_D1072,DRIFT,0.106629,107.296251,0.030000,0.030000,NONE,NONE,NONE,NONE,NONE,drift_313
