name,type,L,s,apx,apy,system,subsystem,inst,dtype,device,desc
FS1_CSS:BPM_D2248,BPM,0.000000,224.770492,0.047500,0.047500,FS1,CSS,D2248,BPM3a,BPM,position monitor
FS1_CSS:BPM_DFT_D2248,DRIFT,0.145282,224.843133,0.047500,0.047500,NONE,NONE,NONE,NONE,NONE,diagnostic box
FS1_CSS:PM_D2249,PM,0.000000,224.915774,0.047500,0.047500,FS1,CSS,D2249,PM_S,PM,"profile monitor (small fork), defer installation"
FS1_CSS:PM_DFT_D2249,DRIFT,0.000000,224.915774,0.047500,0.047500,NONE,NONE,NONE,NONE,NONE,diagnostic box
FS1_CSS:IP_D2249,PORT,0.000000,224.915774,0.047500,0.047500,FS1,CSS,D2249,IP_S,IP,"ion pump, 75 l/s"
FS1_CSS:IP_DFT_D2249,DRIFT,0.122380,224.976964,0.047500,0.047500,NONE,NONE,NONE,NONE,NONE,bellow
FS1_CSS:GV_D2251,VALVE,0.075000,225.075654,0.063000,0.063000,FS1,CSS,D2251,NONE,GV,gate valve
FS1_CSS:GV_DFT_D2251,DRIFT,0.120000,225.173154,0.063000,0.063000,NONE,NONE,NONE,NONE,NONE,drift_1363
FS1_CSS:QV_D2254,QUAD,0.250000,225.358154,0.050000,0.050000,FS1,CSS,D2254,QUAD_Q1,QV,quadrupole-Y
FS1_CSS:QV_DFT_D2254,DRIFT,0.092506,225.529407,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,drift_1365
FS1_CSS:DCHV_D2257,COR,0.200000,225.675660,0.050000,0.050000,FS1,CSS,D2257,C2,DCHV,"correctors-X,Y"
FS1_CSS:DCH_D2257,HCOR,0.000000,225.675660,0.050000,0.050000,FS1,CSS,D2257,C2,DCH,horiz. corrector magnet
FS1_CSS:DCV_D2257,VCOR,0.000000,225.675660,0.050000,0.050000,FS1,CSS,D2257,C2,DCV,vert. corrector magnet
FS1_CSS:DCHV_DFT_D2257,DRIFT,0.107494,225.829407,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,drift_1368
FS1_CSS:QH_D2260,QUAD,0.250000,226.008154,0.050000,0.050000,FS1,CSS,D2260,QUAD_Q1,QH,quadrupole-X
FS1_CSS:QH_DFT_D2260_1,DRIFT,0.098000,226.182154,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,coil out + leads
FS1_CSS:QH_DFT_D2260_2,DRIFT,0.084251,226.273280,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,drift_1372
FS1_CSS:LPM_D2263,BL,0.000000,226.315405,0.050000,0.050000,FS1,CSS,D2263,LPM3,LPM,bunch length monitor
FS1_CSS:LPM_DFT_D2263,DRIFT,0.083750,226.357280,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,drift_1374
FS1_CSS:BCM_D2264,BCM,0.100000,226.449155,0.050000,0.050000,FS1,CSS,D2264,BCM2,BCM,AC current transformer
FS1_CSS:BCM_DFT_D2264,DRIFT,0.203552,226.600931,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,drift_1376
FS1_CSS:TMP_D2267,PORT,0.000000,226.702707,0.050000,0.050000,FS1,CSS,D2267,TMP_L,TMP,turbo pump 2050 l/s
FS1_CSS:FAVS_D2267,VALVE,0.000000,226.702707,0.050000,0.050000,FS1,CSS,D2267,NONE,FAVS,fast valve sensor
FS1_CSS:FAVS_DFT_D2267_1,DRIFT,0.282447,226.843931,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,collimation flange removed
FS1_CSS:FAVS_DFT_D2267_2,DRIFT,0.098000,227.034154,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,coil out + leads
FS1_CSS:QV_D2272,QUAD,0.250000,227.208154,0.050000,0.050000,FS1,CSS,D2272,QUAD_Q1,QV,quadrupole-Y
FS1_CSS:QV_DFT_D2272,DRIFT,0.138656,227.402482,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,drift_1383
FS1_CSS:DCHV_D2276,COR,0.200000,227.571810,0.050000,0.050000,FS1,CSS,D2276,C2,DCHV,"correctors-X,Y"
FS1_CSS:DCH_D2276,HCOR,0.000000,227.571810,0.050000,0.050000,FS1,CSS,D2276,C2,DCH,horiz. corrector magnet
FS1_CSS:DCV_D2276,VCOR,0.000000,227.571810,0.050000,0.050000,FS1,CSS,D2276,C2,DCV,vert. corrector magnet
FS1_CSS:DCHV_DFT_D2276,DRIFT,0.139394,227.741507,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,drift_1385
FS1_CSS:BPM_D2278,BPM,0.000000,227.811204,0.047500,0.047500,FS1,CSS,D2278,BPM3b,BPM,position monitor
FS1_CSS:BPM_DFT_D2278,DRIFT,0.059800,227.841104,0.047500,0.047500,NONE,NONE,NONE,NONE,NONE,drift_1387
FS1_CSS:QH_D2280,QUAD,0.250000,227.996004,0.050000,0.050000,FS1,CSS,D2280,QUAD_Q1,QH,quadrupole-X
FS1_CSS:QH_DFT_D2280_1,DRIFT,0.280000,228.261004,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,drift_1389
FS1_CSS:QH_DFT_D2280_2,DRIFT,0.082672,228.442340,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,drift_1390
FS1_CSS:TMP_D2285,PORT,0.000000,228.483676,0.050000,0.050000,FS1,CSS,D2285,TMP_L,TMP,turbo pump 2050 l/s
FS1_CSS:TMP_DFT_D2285,DRIFT,0.219899,228.593626,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,drift_1392
FS1_CSS:CLLM_D2287,CLLM,0.000000,228.703575,0.050000,0.050000,FS1,CSS,D2287,CF1,CLLM,"collimation flange, R=15 mm"
FS1_CSS:CLLM_DFT_D2287,DRIFT,0.183023,228.795087,0.050000,0.050000,NONE,NONE,NONE,NONE,NONE,drift_1396
FS1_CSS:DH_D2290,BEND,0.300000,229.036598,0.040000,0.040000,FS1,CSS,D2290,BEND_D1,DH,"dipole-5deg, D1-1, C2"
FS1_CSS:DH_DFT_D2290,DRIFT,0.250000,229.311598,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_1399
FS1_CSS:DH_D2296,BEND,0.300000,229.586598,0.040000,0.040000,FS1,CSS,D2296,BEND_D1,DH,"dipole-5deg, D1-1, C2"
FS1_CSS:DH_DFT_D2296_1,DRIFT,0.082804,229.778000,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_1401
FS1_CSS:DH_DFT_D2296_2,DRIFT,0.100000,229.869402,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,"2nd chicane not installed initially, replaced by a pipe"
FS1_CSS:DH_DFT_D2296_3,DRIFT,0.067196,229.953000,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_1403
FS1_CSS:DH_DFT_D2296_4,DRIFT,0.100000,230.036598,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_1404
FS1_CSS:DH_D2302,BEND,0.300000,230.236598,0.040000,0.040000,FS1,CSS,D2302,BEND_D1,DH,"dipole-5deg, D1-1, C2"
FS1_CSS:DH_DFT_D2302,DRIFT,0.250000,230.511598,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_1406
FS1_CSS:DH_D2308,BEND,0.300000,230.786598,0.040000,0.040000,FS1,CSS,D2308,BEND_D1,DH,"dipole-5deg, D1-1, C2"
FS1_CSS:DH_DFT_D2308,DRIFT,0.196446,231.034821,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_1408
FS1_CSS:FAV_D2312,VALVE,0.067196,231.166642,0.040000,0.040000,FS1,CSS,D2312,NONE,FAV,fast valve
FS1_CSS:FAV_DFT_D2312_1,DRIFT,0.003898,231.202189,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,drift_1410
FS1_CSS:FAV_DFT_D2312_2,DRIFT,0.103502,231.255889,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,bellow
FS1_CSS:BPM_D2313,BPM,0.000000,231.307640,0.040000,0.040000,FS1,CSS,D2313,BPM2,BPM,position monitor
FS1_CSS:BPM_DFT_D2313,DRIFT,0.145282,231.380281,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,diagnostic box
FS1_CSS:PM_D2315,PM,0.000000,231.452922,0.040000,0.040000,FS1,CSS,D2315,PM_S,PM,"profile monitor (small fork), not costed"
FS1_CSS:PM_DFT_D2315,DRIFT,0.000000,231.452922,0.040000,0.040000,NONE,NONE,NONE,NONE,NONE,diagnostic box
FS1_CSS:IP_D2315,PORT,0.000000,231.452922,0.040000,0.040000,FS1,CSS,D2315,IP_S,IP,"pump, 75 l/s"
