name,type,L,s,apx,apy,system,subsystem,inst,dtype,device,desc
REA_BTS10:BGV_D0862,VALVE,0.035,86.2403845639695,0.0762,0.0762,REA,BTS10,D0862,NONE,BGV,Beamline Gate Valve
REA_BTS10:BGV_DFT_D0862_1,DRIFT,0.0,86.2578845639695,0.0762,0.0762,NONE,NONE,NONE,NONE,NONE,BOB1
REA_BTS10:BGV_DFT_D0862_2,DRIFT,0.135255799999996,86.3255124639695,0.10185,0.10185,NONE,NONE,NONE,NONE,NONE,drift_25
REA_BTS10:FC_D0864,FC,0.0,86.3931403639695,0.10185,0.10185,REA,BTS10,D0864,FC,FC,"Faraday Cup, Top"
REA_BTS10:FC_DFT_D0864,DRIFT,-0.0561849999999993,86.3650478639695,0.10185,0.10185,NONE,NONE,NONE,NONE,NONE,drift_27
REA_BTS10:ATP_D0864,ATT,0.0,86.3369553639695,0.10185,0.10185,REA,BTS10,D0864,ATP,ATP,"Attenuator, Left"
REA_BTS10:ATP_DFT_D0864,DRIFT,0.0383539999999982,86.3561323639695,0.10185,0.10185,NONE,NONE,NONE,NONE,NONE,drift_29
REA_BTS10:VD_D0864,VD,0.0,86.3753093639695,0.10185,0.10185,REA,BTS10,D0864,VD,VD,"Viewer Plate, Right"
REA_BTS10:VD_DFT_D0864,DRIFT,0.0560298000000057,86.4033242639695,0.10185,0.10185,NONE,NONE,NONE,NONE,NONE,drift_31
REA_BTS10:DCHV_D0865,COR,0.06,86.4613391639695,0.035,0.035,REA,BTS10,D0865,DCHV,DCHV,Flange Mounted X-Y ECorrectors
REA_BTS10:DCH_D0865,HCOR,0.0,86.4613391639695,0.035,0.035,REA,BTS10,D0865,DCHV,DCH,horiz. corrector magnet
REA_BTS10:DCV_D0865,VCOR,0.0,86.4613391639695,0.035,0.035,REA,BTS10,D0865,DCHV,DCV,vert. corrector magnet
REA_BTS10:DCHV_DFT_D0865,DRIFT,0.142967500000002,86.5628229139695,0.10185,0.10185,NONE,NONE,NONE,NONE,NONE,drift_33
REA_BTS10:QE_D0867,EQUAD,0.15,86.7093066639695,0.055,0.055,REA,BTS10,D0867,QUAD_QE,QE,"Triplet, EQuad A"
REA_BTS10:QE_DFT_D0867,DRIFT,0.0250059999999962,86.7968096639695,0.10185,0.10185,NONE,NONE,NONE,NONE,NONE,drift_35
REA_BTS10:QE_D0869,EQUAD,0.15,86.8843126639695,0.055,0.055,REA,BTS10,D0869,QUAD_QE,QE,"Triplet, EQuad B"
REA_BTS10:DCHV_D0869,COR,0.0,86.8843126639695,0.055,0.055,REA,BTS10,D0869,DCHV,DCHV,"Ecorrectors, X-Y"
REA_BTS10:DCH_D0869,HCOR,0.0,86.8843126639695,0.055,0.055,REA,BTS10,D0869,DCHV,DCH,horiz. corrector magnet
REA_BTS10:DCV_D0869,VCOR,0.0,86.8843126639695,0.055,0.055,REA,BTS10,D0869,DCHV,DCV,vert. corrector magnet
REA_BTS10:DCHV_DFT_D0869,DRIFT,0.0250059999999962,86.9718156639695,0.10185,0.10185,NONE,NONE,NONE,NONE,NONE,drift_38
REA_BTS10:QE_D0871,EQUAD,0.15,87.0593186639695,0.055,0.055,REA,BTS10,D0871,QUAD_QE,QE,"Triplet, EQuad C"
REA_BTS10:QE_DFT_D0871,DRIFT,0.0930314000000064,87.1808343639695,0.10185,0.10185,NONE,NONE,NONE,NONE,NONE,drift_40
